SH, 99, 2021022812, 03, HWRF, 000, 171S, 1483E,  33,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000, 1002,   59, 133,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,       0,     607,    -273, Y, 10, DT, -999
SH, 99, 2021022812, 03, HWRF, 003, 174S, 1480E,  41,  996, XX,  34, NEQ, 0071, 0123, 0120, 0043, 1000,   50,  56,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -13,     508,    -511, Y, 10, DT, -999
SH, 99, 2021022812, 03, HWRF, 006, 177S, 1477E,  45,  994, XX,  34, NEQ, 0000, 0133, 0096, 0274,  -99,  -99,  69,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -17,     843,    -292, Y, 10, DT, -999
SH, 99, 2021022812, 03, HWRF, 009, 176S, 1475E,  44,  990, XX,  34, NEQ, 0255, 0131, 0102, 0075,  998,   50,  52,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -99,     721,    -559, Y, 10, DT, -999
SH, 99, 2021022812, 03, HWRF, 012, 175S, 1474E,  48,  991, XX,  34, NEQ, 0243, 0135, 0107, 0081, 1003,  141,  39,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -71,     816,    -339, N, 10, DT, -999
SH, 99, 2021022812, 03, HWRF, 015, 175S, 1473E,  46,  987, XX,  34, NEQ, 0276, 0154, 0099, 0073, 1003,  227,  45,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -95,    1242,      51, N, 10, DT, -999
SH, 99, 2021022812, 03, HWRF, 018, 173S, 1472E,  53,  985, XX,  34, NEQ, 0034, 0181, 0118, 0069, 1001,  223,  37,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,    -109,    1303,    -129, Y, 10, DT, -999
SH, 99, 2021022812, 03, HWRF, 018, 173S, 1472E,  53,  985, XX,  50, NEQ, 0000, 0000, 0038, 0038, 1001,  223,  37,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,    -109,    1303,    -129, Y, 10, DT, -999
SH, 99, 2021022812, 03, HWRF, 021, 170S, 1472E,  54,  986, XX,  34, NEQ, 0055, 0228, 0114, 0074,  998,   61,  32,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -66,    1069,     -20, N, 10, DT, -999
SH, 99, 2021022812, 03, HWRF, 021, 170S, 1472E,  54,  986, XX,  50, NEQ, 0000, 0000, 0038, 0036,  998,   61,  32,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -66,    1069,     -20, N, 10, DT, -999
SH, 99, 2021022812, 03, HWRF, 024, 167S, 1473E,  51,  986, XX,  34, NEQ, 0061, 0233, 0135, 0078,  998,   48,  41,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -57,     928,    -169, Y, 10, DT, -999
SH, 99, 2021022812, 03, HWRF, 024, 167S, 1473E,  51,  986, XX,  50, NEQ, 0000, 0000, 0050, 0045,  998,   48,  41,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -57,     928,    -169, Y, 10, DT, -999
