CP, 82, 2008073112, 03, XTRP, 120, 203N, 1597W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 01, CARQ, -24, 191N, 1459W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 82, 2008073118, 01, CARQ, -18, 192N, 1466W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 82, 2008073118, 01, CARQ, -12, 193N, 1472W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 280,   6, 
CP, 82, 2008073118, 01, CARQ,  -6, 194N, 1478W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 82, 2008073118, 01, CARQ,   0, 194N, 1483W,  25, 1011, DB,  34, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   C,   0,   X, 275,   5,     NONAME, M, 
CP, 82, 2008073118, 01, CARQ,   0, 194N, 1483W,  25, 1011, DB,  50, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   C,   0,   X, 275,   5,     NONAME, M, 
CP, 82, 2008073118, 01, CARQ,   0, 194N, 1483W,  25, 1011, DB,  64, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   C,   0,   X, 275,   5,     NONAME, M, 
CP, 82, 2008073118, 03, CLIP,  12, 195N, 1494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLIP,  24, 195N, 1505W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLIP,  36, 197N, 1516W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLIP,  48, 200N, 1522W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLIP,  60, 201N, 1533W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLIP,  72, 197N, 1553W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLP5,  12, 195N, 1494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLP5,  24, 197N, 1507W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLP5,  36, 199N, 1520W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLP5,  48, 201N, 1533W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLP5,  60, 205N, 1545W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLP5,  72, 210N, 1558W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLP5,  84, 214N, 1572W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLP5,  96, 218N, 1586W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLP5, 108, 223N, 1599W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, CLP5, 120, 227N, 1613W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, DRCL,   0, 194N, 1483W,  25,    0, DB,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, DRCL,  12, 195N, 1494W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, DRCL,  24, 197N, 1507W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, DRCL,  36, 199N, 1520W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, DRCL,  48, 201N, 1533W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, DRCL,  72, 210N, 1558W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, DRCL,  96, 218N, 1586W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, DRCL, 120, 227N, 1613W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, MRCL,   0, 194N, 1483W,  25,    0, DB,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, MRCL,  12, 195N, 1494W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, MRCL,  24, 197N, 1507W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, MRCL,  36, 199N, 1520W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, MRCL,  48, 201N, 1533W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, MRCL,  72, 210N, 1558W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, OFCL,   0, 194N, 1483W,  25,    0, DB,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0,    ,   0, RTM, 270,   5, 
CP, 82, 2008073118, 03, OFCL,   3, 194N, 1486W,  25, 1011, DB,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0,    ,   0, RTM, 270,   6, 
