EP, 89, 2009071318, 03, CLP5,  84, 161N, 1530W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, CLP5,  96, 166N, 1551W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, CLP5, 108, 171N, 1570W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, CLP5, 120, 176N, 1591W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, DSHP,   0, 139N, 1385W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, DSHP,  12, 137N, 1409W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, DSHP,  24, 136N, 1430W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, DSHP,  36, 136N, 1449W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, DSHP,  48, 141N, 1466W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, DSHP,  60, 152N, 1480W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, DSHP,  72, 163N, 1492W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, DSHP,  84, 174N, 1505W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, DSHP,  96, 184N, 1517W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, DSHP, 108, 193N, 1530W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, DSHP, 120, 201N, 1543W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, IVCN,   0,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, IVCN,  12,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, IVCN,  24,   0N,    0W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, LBAR,   0, 139N, 1385W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, LBAR,  12, 140N, 1403W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, LBAR,  24, 144N, 1424W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, LBAR,  36, 151N, 1442W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, LBAR,  48, 160N, 1458W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 89, 2009071318, 03, LBAR,  60, 181N, 1475W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
