SH, 94, 2012122706, 03, NGPS, 114, 174S, 1604E,  64,  985, XX,  34, NEQ, 0189, 0201, 0202, 0163
SH, 94, 2012122706, 03, NGPS, 114, 174S, 1604E,  64,  985, XX,  50, NEQ, 0085, 0073, 0151, 0000
SH, 94, 2012122706, 03, NGPS, 120, 178S, 1601E,  63,  983, XX,  34, NEQ, 0168, 0237, 0233, 0154
SH, 94, 2012122706, 03, NGPS, 120, 178S, 1601E,  63,  983, XX,  50, NEQ, 0063, 0116, 0068, 0000
SH, 94, 2012122706, 03, NGPS, 126, 180S, 1601E,  59,  986, XX,  34, NEQ, 0175, 0290, 0232, 0135
SH, 94, 2012122706, 03, NGPS, 126, 180S, 1601E,  59,  986, XX,  50, NEQ, 0072, 0115, 0115, 0000
SH, 94, 2012122706, 03, NGPS, 132, 185S, 1601E,  59,  984, XX,  34, NEQ, 0164, 0213, 0159, 0133
SH, 94, 2012122706, 03, NGPS, 132, 185S, 1601E,  59,  984, XX,  50, NEQ, 0000, 0111, 0115, 0000
SH, 94, 2012122706, 03, NGPS, 138, 184S, 1603E,  64,  985, XX,  34, NEQ, 0166, 0210, 0244, 0151
SH, 94, 2012122706, 03, NGPS, 138, 184S, 1603E,  64,  985, XX,  50, NEQ, 0092, 0105, 0112, 0000
SH, 94, 2012122706, 03, NGPS, 144, 190S, 1606E,  68,  981, XX,  34, NEQ, 0148, 0170, 0235, 0165
SH, 94, 2012122706, 03, NGPS, 144, 190S, 1606E,  68,  981, XX,  50, NEQ, 0084, 0170, 0126, 0040
SH, 94, 2012122706, 03, NGPS, 144, 190S, 1606E,  68,  981, XX,  64, NEQ, 0000, 0000, 0064, 0000
SH, 94, 2012122712, 03, GFDN,   0,  91S, 1637E,  26, 1003
SH, 94, 2012122712, 03, GFDN,   6,  97S, 1632E,  37, 1000
SH, 94, 2012122712, 03, GFDN,  12, 104S, 1624E,  46,  998
SH, 94, 2012122712, 03, GFDN,  18, 108S, 1618E,  47,  994
SH, 94, 2012122712, 03, GFDN,  24, 111S, 1616E,  48,  990
SH, 94, 2012122712, 03, GFDN,  30, 111S, 1612E,  56,  985
SH, 94, 2012122712, 03, GFDN,  36, 112S, 1612E,  55,  981
SH, 94, 2012122712, 03, GFDN,  42, 113S, 1614E,  62,  977
SH, 94, 2012122712, 03, GFDN,  48, 116S, 1616E,  64,  976
SH, 94, 2012122712, 03, GFDN,  54, 118S, 1618E,  71,  971
SH, 94, 2012122712, 03, GFDN,  60, 123S, 1620E,  71,  966
SH, 94, 2012122712, 03, GFDN,  66, 131S, 1622E,  79,  964
SH, 94, 2012122712, 03, GFDN,  72, 137S, 1627E,  77,  963
SH, 94, 2012122712, 03, GFDN,  78, 145S, 1628E,  77,  959
SH, 94, 2012122712, 03, GFDN,  84, 151S, 1631E,  86,  954
SH, 94, 2012122712, 03, GFDN,  90, 157S, 1633E,  90,  949
SH, 94, 2012122712, 03, GFDN,  96, 161S, 1636E,  85,  948
SH, 94, 2012122712, 03, GFDN, 102, 166S, 1639E,  86,  947
SH, 94, 2012122712, 03, GFDN, 108, 169S, 1642E,  85,  948
SH, 94, 2012122712, 03, GFDN, 114, 173S, 1647E,  88,  945
SH, 94, 2012122712, 03, GFDN, 120, 179S, 1654E,  99,  942
SH, 94, 2012122712, 03, GFDN, 126, 186S, 1662E,  98,  937
SH, 94, 2012122712, 03, NG01, 000,  84S, 1626E,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 006,  89S, 1625E,  35, 1003, XX,  34, NEQ, 0000, 0159, 0000, 0000
SH, 94, 2012122712, 03, NG01, 012,  92S, 1623E,  22, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 018,  97S, 1624E,  23, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 024, 104S, 1625E,  24, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 030, 109S, 1624E,  24,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 036, 117S, 1622E,  23, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 042, 120S, 1621E,  27,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 048, 124S, 1621E,  27, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 054, 129S, 1620E,  27,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 060, 130S, 1620E,  26,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 066, 133S, 1620E,  27,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 072, 140S, 1622E,  27, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 078, 146S, 1623E,  29,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 084, 154S, 1625E,  30, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 090, 161S, 1621E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 096, 169S, 1620E,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 102, 172S, 1612E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 108, 177S, 1605E,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 114, 180S, 1600E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 120, 182S, 1598E,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 126, 186S, 1595E,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 132, 189S, 1592E,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 138, 191S, 1594E,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG01, 144, 194S, 1597E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 000,  91S, 1618E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 006,  90S, 1601E,  36, 1003, XX,  34, NEQ, 0128, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 012,  94S, 1594E,  21, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 018, 100S, 1590E,  21, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 024, 103S, 1586E,  22, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 030, 105S, 1583E,  22, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 036, 108S, 1585E,  20, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 042, 109S, 1586E,  20, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 048, 110S, 1588E,  21, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 054, 111S, 1588E,  22,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 060, 112S, 1590E,  24, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 066, 118S, 1590E,  23,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 072, 120S, 1591E,  23, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 078, 121S, 1590E,  25,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
