EP, 99, 2019072618, 03, COTC, 000,  96N, 1196W,  26, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 085
EP, 99, 2019072618, 03, NVGM, 000,  99N, 1193W,  25, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 096
EP, 99, 2019072618, 03, NVGM, 006,  98N, 1207W,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 070
EP, 99, 2019072618, 03, NVGM, 012,  99N, 1219W,  27, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 037
EP, 99, 2019072618, 03, NVGM, 018, 106N, 1230W,  29, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 060
EP, 99, 2019072618, 03, NVGM, 024, 117N, 1240W,  27, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 143
EP, 99, 2019072618, 03, NVGM, 030, 122N, 1253W,  26, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
EP, 99, 2019072618, 03, NVGM, 036, 126N, 1268W,  29, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 085
EP, 99, 2019072618, 03, NVGM, 042, 127N, 1285W,  28, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 077
EP, 99, 2019072618, 03, NVGM, 048, 127N, 1301W,  26, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 140
EP, 99, 2019072618, 03, NVGM, 054, 129N, 1315W,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 102
EP, 99, 2019072618, 03, NVGM, 060, 131N, 1328W,  25, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 085
EP, 99, 2019072618, 03, NVGM, 066, 133N, 1341W,  26, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 080
EP, 99, 2019072618, 03, NVGM, 072, 135N, 1353W,  28, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 064
EP, 99, 2019072618, 03, NVGM, 078, 138N, 1364W,  28, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 054
EP, 99, 2019072618, 03, NVGM, 084, 141N, 1376W,  29, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 069
EP, 99, 2019072618, 03, NVGM, 090, 145N, 1388W,  28, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 094
EP, 99, 2019072618, 03, NVGM, 096, 149N, 1401W,  32, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 069
EP, 99, 2019072618, 03, NVGM, 102, 152N, 1414W,  29, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 080
EP, 99, 2019072618, 03, NVGM, 108, 154N, 1427W,  31, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 094
EP, 99, 2019072618, 03, NVGM, 114, 156N, 1439W,  32, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 085
