IO, 03, 2013110900, 03, NG02, 018,  66N,  508E,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG02, 024,  63N,  494E,  11, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG02, 030,  58N,  474E,  11, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG02, 036,  58N,  465E,  11, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG02, 042,  51N,  456E,   8, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG02, 048,  51N,  453E,   7, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG02, 054,  51N,  453E,   8, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG02, 060,  49N,  450E,   8, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG02, 066,  45N,  455E,   8, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG02, 072,  44N,  455E,   7, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG02, 078,  47N,  463E,   7, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG02, 084,  47N,  460E,  10, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 000,  80N,  536E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 006,  81N,  527E,  30, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 012,  80N,  520E,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 018,  79N,  510E,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 024,  73N,  501E,  17, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 030,  76N,  489E,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 036,  76N,  480E,  15, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 042,  71N,  469E,   9, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 048,  73N,  458E,   8, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 054,  80N,  442E,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 060,  76N,  437E,  11, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG03, 066,  70N,  430E,   6, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG04, 000,  80N,  528E,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG04, 006,  86N,  519E,  34, 1007, XX,  34, NEQ, 0000, 0000, 0111, 0000
IO, 03, 2013110900, 03, NG04, 012,  83N,  510E,  27, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG04, 018,  83N,  497E,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG04, 024,  84N,  484E,  18, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG04, 030,  82N,  471E,  12, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG04, 036,  80N,  461E,  13, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG04, 042,  79N,  451E,  12, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG04, 048,  85N,  444E,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG04, 054,  82N,  438E,  10, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG04, 060,  76N,  432E,  12, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 000,  71N,  527E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 006,  68N,  520E,  27, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 012,  62N,  518E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 018,  49N,  521E,  14, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 024,  50N,  519E,  13, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 030,  55N,  517E,  17, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 036,  57N,  519E,  17, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 042,  53N,  511E,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 048,  55N,  512E,  14, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 054,  59N,  512E,  15, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 060,  59N,  514E,  15, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 066,  58N,  509E,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG05, 072,  52N,  506E,  13, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG06, 000,  77N,  531E,  26, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG06, 006,  80N,  520E,  38, 1007, XX,  34, NEQ, 0130, 0000, 0104, 0000
IO, 03, 2013110900, 03, NG06, 012,  79N,  510E,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG06, 018,  79N,  500E,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG06, 024,  73N,  485E,  11, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG06, 030,  69N,  476E,  11, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG06, 036,  70N,  469E,  13, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG06, 042,  70N,  467E,  10, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG06, 048,  70N,  464E,   9, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG06, 054,  73N,  452E,   8, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG06, 060,  72N,  446E,   8, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG06, 066,  65N,  440E,   7, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG07, 000,  79N,  532E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG07, 006,  83N,  527E,  36, 1007, XX,  34, NEQ, 0000, 0000, 0137, 0000
IO, 03, 2013110900, 03, NG07, 012,  84N,  526E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG07, 018,  82N,  514E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG07, 024,  79N,  509E,  17, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG07, 030,  78N,  501E,  16, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG07, 036,  77N,  495E,  15, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG07, 042,  77N,  489E,  13, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 000,  76N,  537E,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 006,  78N,  527E,  34, 1006, XX,  34, NEQ, 0136, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 012,  77N,  516E,  26, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 018,  70N,  501E,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 024,  68N,  489E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 030,  67N,  479E,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 036,  61N,  473E,  16, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 042,  61N,  470E,  10, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 048,  64N,  468E,  11, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 054,  68N,  464E,  10, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 060,  69N,  461E,  10, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 066,  63N,  456E,   8, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 072,  62N,  454E,   5, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 078,  59N,  448E,   6, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 084,  56N,  443E,   8, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 090,  46N,  437E,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG08, 096,  46N,  428E,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG09, 000,  72N,  533E,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG09, 006,  77N,  521E,  37, 1007, XX,  34, NEQ, 0000, 0000, 0096, 0000
IO, 03, 2013110900, 03, NG09, 012,  73N,  513E,  23, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG09, 018,  75N,  501E,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG09, 024,  70N,  492E,  15, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG09, 030,  67N,  484E,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG09, 036,  68N,  475E,  14, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG09, 042,  69N,  470E,   9, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG10, 000,  76N,  530E,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG10, 006,  73N,  522E,  32, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG10, 012,  73N,  511E,  17, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG10, 018,  70N,  499E,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG10, 024,  62N,  491E,  14, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG10, 030,  58N,  482E,  13, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
