IO, 90, 2016110200, 03, COTC, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, ***
IO, 90, 2016110200, 03, GFDN,   0, 114N,  907E,  21, 1006
IO, 90, 2016110200, 03, GFDN,   6, 122N,  900E,  26, 1006
IO, 90, 2016110200, 03, GFDN,  12, 126N,  883E,  25, 1007
IO, 90, 2016110200, 03, GFDN,  18, 133N,  862E,  27, 1006
IO, 90, 2016110200, 03, GFDN,  24, 135N,  846E,  25, 1006
IO, 90, 2016110200, 03, GFDN,  30, 135N,  832E,  32, 1007
IO, 90, 2016110200, 03, GFDN,  36, 138N,  824E,  35, 1005
IO, 90, 2016110200, 03, GFDN,  42, 141N,  818E,  40, 1005
IO, 90, 2016110200, 03, GFDN,  48, 145N,  811E,  37, 1004
IO, 90, 2016110200, 03, GFDN,  54, 147N,  807E,  34, 1002
IO, 90, 2016110200, 03, GFDN,  60, 148N,  803E,  27, 1001
IO, 90, 2016110200, 03, GFDN,  66, 148N,  802E,  22, 1003
IO, 90, 2016110200, 03, GFDN,  72, 147N,  801E,  19, 1004
IO, 90, 2016110200, 03, GFDN,  78, 144N,  803E,  19, 1005
IO, 90, 2016110200, 03, GFDN,  84, 141N,  805E,  20, 1003
IO, 90, 2016110200, 03, GFDN,  90, 143N,  807E,  20, 1004
IO, 90, 2016110200, 03, GFDN,  96, 142N,  808E,  17, 1005
IO, 90, 2016110200, 03, GFDN, 102, 141N,  808E,  19, 1005
IO, 90, 2016110200, 03, GFDN, 108, 139N,  811E,  18, 1005
IO, 90, 2016110200, 03, GFDN, 114, 139N,  811E,  23, 1006
IO, 90, 2016110200, 03, GFDN, 120, 140N,  817E,  30, 1005
IO, 90, 2016110200, 03, GFDN, 126, 168N,  841E,  36, 1000
IO, 90, 2016110200, 03, NG01, 000, 119N,  908E,  28, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 129
IO, 90, 2016110200, 03, NG01, 006, 115N,  878E,  25, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 154
IO, 90, 2016110200, 03, NG01, 012, 118N,  854E,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 134
IO, 90, 2016110200, 03, NG02, 000, 111N,  906E,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 102
IO, 90, 2016110200, 03, NG02, 006, 108N,  879E,  25, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 161
IO, 90, 2016110200, 03, NG02, 012, 109N,  870E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 151
IO, 90, 2016110200, 03, NG03, 000, 120N,  912E,  34, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 141
IO, 90, 2016110200, 03, NG03, 006, 120N,  893E,  32, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 161
IO, 90, 2016110200, 03, NG03, 012, 116N,  879E,  34, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0099,    0,    0, 100
IO, 90, 2016110200, 03, NG04, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, ***
IO, 90, 2016110200, 03, NG05, 000, 118N,  903E,  27, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 161
IO, 90, 2016110200, 03, NG05, 006, 117N,  881E,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 137
IO, 90, 2016110200, 03, NG05, 012, 111N,  861E,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 142
