CP, 84, 2012060212, 03, MRCL,  72, 212N, 1529W, 125,    0, HU,  34, NEQ,  165,  120,   95,  160, 
CP, 84, 2012060212, 03, MRCL,  72, 212N, 1529W, 125,    0, HU,  50, NEQ,  120,  105,   70,  120, 
CP, 84, 2012060212, 03, MRCL,  72, 212N, 1529W, 125,    0, HU,  64, NEQ,  105,   70,   60,   10, 
CP, 84, 2012060212, 03, OFCL,   0, 210N, 1480W, 105,    0, HU,  34, NEQ,  145,  130,  130,  145,    0,    0,   0, 130,  15,    ,   0, SHH, 270,   8, 
CP, 84, 2012060212, 03, OFCL,   0, 210N, 1480W, 105,    0, HU,  50, NEQ,   90,   80,   80,   90,    0,    0,   0, 130,  15,    ,   0, SHH, 270,   8, 
CP, 84, 2012060212, 03, OFCL,   0, 210N, 1480W, 105,    0, HU,  64, NEQ,   30,   25,   25,   30,    0,    0,   0, 130,  15,    ,   0, SHH, 270,   8, 
CP, 84, 2012060212, 03, OFCL,   3, 210N, 1482W, 105,  958, HU,  34, NEQ,  145,  130,  130,  145,    0,    0,   0, 130,  15,    ,   0, SHH, 270,   4,           ,  , 12, NEQ,  140,  100,   95,  120
CP, 84, 2012060212, 03, OFCL,   3, 210N, 1482W, 105,  958, HU,  50, NEQ,   90,   80,   80,   90,    0,    0,   0, 130,  15,    ,   0, SHH, 270,   4,           ,  , 12, NEQ,  140,  100,   95,  120
CP, 84, 2012060212, 03, OFCL,   3, 210N, 1482W, 105,  958, HU,  64, NEQ,   30,   25,   25,   30,    0,    0,   0, 130,  15,    ,   0, SHH, 270,   4,           ,  , 12, NEQ,  140,  100,   95,  120
CP, 84, 2012060212, 03, OFCL,  12, 210N, 1488W, 110,    0, HU,  34, NEQ,  145,  130,  130,  145,    0,    0,   0, 135,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL,  12, 210N, 1488W, 110,    0, HU,  50, NEQ,   90,   80,   80,   90,    0,    0,   0, 135,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL,  12, 210N, 1488W, 110,    0, HU,  64, NEQ,   30,   25,   25,   30,    0,    0,   0, 135,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL,  24, 211N, 1496W, 115,    0, HU,  34, NEQ,  145,  130,  130,  145,    0,    0,   0, 140,  15,    ,   0, SHH, 280,   4, 
