WP, 02, 2018020918, 03, CTCX, 006,  82N, 1418E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
WP, 02, 2018020918, 03, CTCX, 012,  74N, 1400E,  33, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 094
WP, 02, 2018020918, 03, CTCX, 018,  77N, 1382E,  35, 1006, XX,  34, NEQ, 0219, 0000, 0000, 0156,    0,    0, 055
WP, 02, 2018020918, 03, CTCX, 024,  82N, 1361E,  34, 1005, XX,  34, NEQ, 0160, 0000, 0000, 0064,    0,    0, 064
WP, 02, 2018020918, 03, CTCX, 030,  78N, 1346E,  31, 1007, XX,  34, NEQ, 0179, 0000, 0000, 0155,    0,    0, 065
WP, 02, 2018020918, 03, CTCX, 036,  78N, 1336E,  35, 1004, XX,  34, NEQ, 0065, 0000, 0000, 0000,    0,    0, 064
WP, 02, 2018020918, 03, CTCX, 042,  79N, 1323E,  36, 1006, XX,  34, NEQ, 0209, 0000, 0000, 0209,    0,    0, 085
WP, 02, 2018020918, 03, CTCX, 048,  77N, 1310E,  37, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0035,    0,    0, 029
WP, 02, 2018020918, 03, CTCX, 054,  75N, 1290E,  40, 1007, XX,  34, NEQ, 0203, 0000, 0000, 0148,    0,    0, 044
WP, 02, 2018020918, 03, CTCX, 060,  78N, 1277E,  38, 1003, XX,  34, NEQ, 0294, 0000, 0000, 0140,    0,    0, 042
WP, 02, 2018020918, 03, CTCX, 066,  75N, 1270E,  31, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0189,    0,    0, 105
WP, 02, 2018020918, 03, CTCX, 072,  75N, 1263E,  36, 1008, XX,  34, NEQ, 0110, 0000, 0219, 0176,    0,    0, 108
WP, 02, 2018020918, 03, CTCX, 078,  73N, 1249E,  36, 1011, XX,  34, NEQ, 0288, 0000, 0000, 0140,    0,    0, 107
WP, 02, 2018021000, 03, CTCX, 000,  93N, 1431E,  25, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 100
WP, 02, 2018021000, 03, CTCX, 006,  87N, 1413E,  41, 1004, XX,  34, NEQ, 0124, 0000, 0000, 0000,    0,    0, 087
WP, 02, 2018021000, 03, CTCX, 012,  79N, 1398E,  40, 1005, XX,  34, NEQ, 0053, 0164, 0000, 0181,    0,    0, 104
WP, 02, 2018021000, 03, CTCX, 018,  75N, 1382E,  36, 1004, XX,  34, NEQ, 0125, 0000, 0000, 0169,    0,    0, 096
WP, 02, 2018021000, 03, CTCX, 024,  77N, 1359E,  40, 1005, XX,  34, NEQ, 0205, 0000, 0000, 0195,    0,    0, 020
WP, 02, 2018021000, 03, CTCX, 030,  79N, 1342E,  40, 1004, XX,  34, NEQ, 0000, 0000, 0111, 0055,    0,    0, 049
WP, 02, 2018021000, 03, CTCX, 036,  81N, 1323E,  40, 1006, XX,  34, NEQ, 0102, 0000, 0133, 0063,    0,    0, 056
WP, 02, 2018021000, 03, CTCX, 042,  76N, 1307E,  32, 1005, XX,  34, NEQ, 0138, 0000, 0000, 0164,    0,    0, 065
WP, 02, 2018021000, 03, CTCX, 048,  75N, 1297E,  37, 1007, XX,  34, NEQ, 0270, 0000, 0097, 0203,    0,    0, 094
WP, 02, 2018021000, 03, CTCX, 054,  76N, 1289E,  33, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0163,    0,    0, 071
WP, 02, 2018021000, 03, CTCX, 060,  77N, 1273E,  39, 1006, XX,  34, NEQ, 0266, 0000, 0000, 0069,    0,    0, 046
WP, 02, 2018021000, 03, CTCX, 066,  72N, 1268E,  36, 1007, XX,  34, NEQ, 0150, 0000, 0000, 0225,    0,    0, 047
WP, 02, 2018021000, 03, CTCX, 072,  71N, 1261E,  22, 1012, XX,  34, NEQ, 0288, 0000, 0000, 0244,    0,    0, 096
WP, 02, 2018021000, 03, CTCX, 078,  66N, 1250E,  25, 1008, XX,  34, NEQ, 0334, 0000, 0000, 0196,    0,    0, 034
WP, 02, 2018021000, 03, CTCX, 084,  59N, 1235E,  27, 1009, XX,  34, NEQ, 0317, 0000, 0000, 0000,    0,    0, 105
WP, 02, 2018021000, 03, CTCX, 090,  50N, 1211E,  32, 1009, XX,  34, NEQ, 0195, 0000, 0000, 0134,    0,    0, 091
WP, 02, 2018021000, 03, CTCX, 096,  53N, 1195E,  28, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 101
WP, 02, 2018021006, 03, CTCX, 000,  73N, 1421E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
WP, 02, 2018021006, 03, CTCX, 006,  64N, 1398E,  32, 1004, XX,  34, NEQ, 0132, 0000, 0000, 0170,    0,    0, 075
WP, 02, 2018021006, 03, CTCX, 012,  69N, 1382E,  36, 1004, XX,  34, NEQ, 0175, 0118, 0000, 0182,    0,    0, 091
WP, 02, 2018021006, 03, CTCX, 018,  78N, 1364E,  41, 1006, XX,  34, NEQ, 0140, 0234, 0000, 0097,    0,    0, 094
WP, 02, 2018021006, 03, CTCX, 024,  79N, 1345E,  43, 1004, XX,  34, NEQ, 0209, 0000, 0113, 0102,    0,    0, 041
WP, 02, 2018021006, 03, CTCX, 030,  82N, 1327E,  41, 1005, XX,  34, NEQ, 0050, 0000, 0000, 0075,    0,    0, 050
WP, 02, 2018021006, 03, CTCX, 036,  79N, 1313E,  40, 1004, XX,  34, NEQ, 0130, 0000, 0000, 0126,    0,    0, 108
WP, 02, 2018021006, 03, CTCX, 042,  81N, 1302E,  43, 1007, XX,  34, NEQ, 0193, 0000, 0000, 0157,    0,    0, 080
WP, 02, 2018021006, 03, CTCX, 042,  81N, 1302E,  43, 1007, XX,  50, NEQ, 0000, 0000, 0000, 0117,    0,    0, 080
WP, 02, 2018021006, 03, CTCX, 048,  84N, 1291E,  33, 1005, XX,  34, NEQ, 0204, 0000, 0000, 0000,    0,    0, 095
WP, 02, 2018021006, 03, CTCX, 054,  80N, 1278E,  42, 1006, XX,  34, NEQ, 0205, 0000, 0000, 0190,    0,    0, 090
WP, 02, 2018021006, 03, CTCX, 060,  81N, 1264E,  46, 1005, XX,  34, NEQ, 0211, 0000, 0000, 0172,    0,    0, 028
WP, 02, 2018021006, 03, CTCX, 066,  87N, 1256E,  39, 1009, XX,  34, NEQ, 0303, 0000, 0000, 0141,    0,    0, 053
WP, 02, 2018021006, 03, CTCX, 072,  84N, 1245E,  46, 1007, XX,  34, NEQ, 0277, 0000, 0000, 0292,    0,    0, 088
WP, 02, 2018021006, 03, CTCX, 078,  78N, 1235E,  34, 1009, XX,  34, NEQ, 0088, 0000, 0000, 0000,    0,    0, 088
WP, 02, 2018021006, 03, CTCX, 084,  57N, 1222E,  33, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 069
WP, 02, 2018021006, 03, CTCX, 090,  50N, 1210E,  26, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 068
WP, 02, 2018021006, 03, CTCX, 096,  49N, 1207E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 068
WP, 02, 2018021006, 03, CTCX, 102,  54N, 1196E,  31, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 100
WP, 02, 2018021006, 03, CTCX, 108,  45N, 1184E,  33, 1011, XX,  34, NEQ, 0000, 0159, 0000, 0000,    0,    0, 029
WP, 02, 2018021006, 03, CTCX, 114,  49N, 1179E,  25, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 104
WP, 02, 2018021006, 03, CTCX, 120,  52N, 1169E,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 091
WP, 02, 2018021006, 03, CTCX, 126,  54N, 1156E,  25, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 106
WP, 02, 2018021012, 03, CTCX, 000,  65N, 1401E,  30, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 082
WP, 02, 2018021012, 03, CTCX, 006,  61N, 1378E,  37, 1004, XX,  34, NEQ, 0175, 0015, 0028, 0297,    0,    0, 013
WP, 02, 2018021012, 03, CTCX, 012,  65N, 1368E,  32, 1005, XX,  34, NEQ, 0152, 0000, 0000, 0170,    0,    0, 106
WP, 02, 2018021012, 03, CTCX, 018,  69N, 1349E,  42, 1003, XX,  34, NEQ, 0206, 0000, 0000, 0102,    0,    0, 051
WP, 02, 2018021012, 03, CTCX, 024,  71N, 1338E,  37, 1004, XX,  34, NEQ, 0183, 0000, 0000, 0154,    0,    0, 091
WP, 02, 2018021012, 03, CTCX, 030,  73N, 1322E,  40, 1002, XX,  34, NEQ, 0213, 0000, 0000, 0085,    0,    0, 102
WP, 02, 2018021012, 03, CTCX, 036,  72N, 1309E,  36, 1005, XX,  34, NEQ, 0204, 0000, 0000, 0165,    0,    0, 102
WP, 02, 2018021012, 03, CTCX, 042,  77N, 1294E,  42, 1005, XX,  34, NEQ, 0180, 0000, 0000, 0103,    0,    0, 097
WP, 02, 2018021012, 03, CTCX, 048,  75N, 1278E,  42, 1005, XX,  34, NEQ, 0182, 0000, 0000, 0137,    0,    0, 107
WP, 02, 2018021012, 03, CTCX, 054,  79N, 1260E,  40, 1006, XX,  34, NEQ, 0255, 0000, 0000, 0000,    0,    0, 052
WP, 02, 2018021012, 03, CTCX, 060,  77N, 1246E,  40, 1009, XX,  34, NEQ, 0237, 0000, 0000, 0330,    0,    0, 052
WP, 02, 2018021012, 03, CTCX, 066,  77N, 1240E,  44, 1008, XX,  34, NEQ, 0248, 0000, 0000, 0168,    0,    0, 087
WP, 02, 2018021012, 03, CTCX, 072,  68N, 1222E,  32, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 102
WP, 02, 2018021012, 03, CTCX, 078,  63N, 1210E,  30, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 090
WP, 02, 2018021012, 03, CTCX, 084,  55N, 1188E,  31, 1011, XX,  34, NEQ, 0156, 0000, 0000, 0000,    0,    0, 094
WP, 02, 2018021018, 03, CTCX, 000,  64N, 1373E,  45, 1003, XX,  34, NEQ, 0140, 0000, 0000, 0144,    0,    0, 068
WP, 02, 2018021018, 03, CTCX, 006,  59N, 1357E,  46,  998, XX,  34, NEQ, 0141, 0046, 0010, 0117,    0,    0, 029
WP, 02, 2018021018, 03, CTCX, 012,  63N, 1350E,  40, 1002, XX,  34, NEQ, 0168, 0000, 0100, 0136,    0,    0, 016
WP, 02, 2018021018, 03, CTCX, 018,  67N, 1338E,  42, 1004, XX,  34, NEQ, 0211, 0000, 0000, 0160,    0,    0, 105
WP, 02, 2018021018, 03, CTCX, 024,  73N, 1323E,  41, 1004, XX,  34, NEQ, 0085, 0000, 0000, 0134,    0,    0, 082
WP, 02, 2018021018, 03, CTCX, 030,  80N, 1304E,  38, 1007, XX,  34, NEQ, 0167, 0000, 0000, 0139,    0,    0, 094
