WP, 08, 2021070600, 01, CARQ,   0, 153N, 1115E,  20, 1002, DB,  64, NEQ,    0,    0,    0,    0, 1004,  130,  40,   0,   0,   W,   0,   X, 270,   8,     INVEST, S, 
WP, 08, 2021070606, 01, CARQ, -24, 153N, 1141E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070606, 01, CARQ, -18, 154N, 1130E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070606, 01, CARQ, -12, 156N, 1125E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X, 285,   4,     INVEST,  , 
WP, 08, 2021070606, 01, CARQ,  -6, 156N, 1122E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070606, 01, CARQ,   0, 158N, 1118E,  20, 1000, DB,  34, NEQ,    0,    0,    0,    0, 1002,  130,  40,   0,   0,   W,   0,   X, 290,   4,     INVEST, S, 
WP, 08, 2021070606, 01, CARQ,   0, 158N, 1118E,  20, 1000, DB,  50, NEQ,    0,    0,    0,    0, 1002,  130,  40,   0,   0,   W,   0,   X, 290,   4,     INVEST, S, 
WP, 08, 2021070606, 01, CARQ,   0, 158N, 1118E,  20, 1000, DB,  64, NEQ,    0,    0,    0,    0, 1002,  130,  40,   0,   0,   W,   0,   X, 290,   4,     INVEST, S, 
WP, 08, 2021070612, 01, CARQ, -24, 154N, 1130E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070612, 01, CARQ, -18, 156N, 1125E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070612, 01, CARQ, -12, 156N, 1122E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X, 293,   3,     INVEST,  , 
WP, 08, 2021070612, 01, CARQ,  -6, 158N, 1120E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070612, 01, CARQ,   0, 169N, 1109E,  20, 1002, DB,  34, NEQ,    0,    0,    0,    0, 1004,  130,  40,   0,   0,   W,   0,   X, 310,   7,     INVEST, S, 
WP, 08, 2021070612, 01, CARQ,   0, 169N, 1109E,  20, 1002, DB,  50, NEQ,    0,    0,    0,    0, 1004,  130,  40,   0,   0,   W,   0,   X, 310,   7,     INVEST, S, 
WP, 08, 2021070612, 01, CARQ,   0, 169N, 1109E,  20, 1002, DB,  64, NEQ,    0,    0,    0,    0, 1004,  130,  40,   0,   0,   W,   0,   X, 310,   7,     INVEST, S, 
