AL, 90, 2005093006, 01, CARQ, -24, 118N,  305W,  15,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 90, 2005093006, 01, CARQ, -18, 118N,  310W,  15,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 90, 2005093006, 01, CARQ, -12, 118N,  315W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 270,   5, 
AL, 90, 2005093006, 01, CARQ,  -6, 118N,  320W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 90, 2005093006, 01, CARQ,   0, 118N,  325W,  25, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   L,   0,   X, 270,   5,     INVEST, D, 
AL, 90, 2005093006, 01, CARQ,   0, 118N,  325W,  25, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   L,   0,   X, 270,   5,     INVEST, D, 
AL, 90, 2005093006, 01, CARQ,   0, 118N,  325W,  25, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   L,   0,   X, 270,   5,     INVEST, D, 
AL, 90, 2005093006, 03, A90E,   0, 118N,  325W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2005093006, 03, A90E,  12, 118N,  335W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2005093006, 03, A90E,  24, 119N,  348W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2005093006, 03, A90E,  36, 121N,  363W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2005093006, 03, A90E,  48, 126N,  375W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2005093006, 03, A90E,  60, 128N,  386W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2005093006, 03, A90E,  72, 135N,  393W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
