IO, 01, 2021051112, 01, CARQ,   0,  83N,  585E,  25, 1003, TD,  34, NEQ,    0,    0,    0,    0, 1006,  135,  35,   0,   0,   A,   0,   X,  80,   5,     INVEST, S, 
IO, 01, 2021051112, 01, CARQ,   0,  83N,  585E,  25, 1003, TD,  50, NEQ,    0,    0,    0,    0, 1006,  135,  35,   0,   0,   A,   0,   X,  80,   5,     INVEST, S, 
IO, 01, 2021051112, 01, CARQ,   0,  83N,  585E,  25, 1003, TD,  64, NEQ,    0,    0,    0,    0, 1006,  135,  35,   0,   0,   A,   0,   X,  80,   5,     INVEST, S, 
IO, 01, 2021051118, 01, CARQ, -24,  84N,  578E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051118, 01, CARQ, -18,  87N,  589E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051118, 01, CARQ, -12,  90N,  601E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,  73,  12,     INVEST,  , 
IO, 01, 2021051118, 01, CARQ,  -6,  94N,  613E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051118, 01, CARQ,   0,  98N,  625E,  25, 1003, TD,  34, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  75,  12,     INVEST, S, 
IO, 01, 2021051118, 01, CARQ,   0,  98N,  625E,  25, 1003, TD,  50, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  75,  12,     INVEST, S, 
IO, 01, 2021051118, 01, CARQ,   0,  98N,  625E,  25, 1003, TD,  64, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  75,  12,     INVEST, S, 
IO, 01, 2021051200, 01, CARQ, -24,  87N,  589E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051200, 01, CARQ, -18,  91N,  599E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051200, 01, CARQ, -12,  95N,  608E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,  62,  11,     INVEST,  , 
IO, 01, 2021051200, 01, CARQ,  -6, 101N,  618E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
