AL, 89, 2005110912, 03, BAMM,  60, 195N,  819W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMM,  72, 190N,  836W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMM,  84, 190N,  856W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMM,  96, 193N,  876W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMM, 108, 196N,  896W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMM, 120, 199N,  913W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMS,  12, 229N,  767W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMS,  24, 227N,  788W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMS,  36, 227N,  802W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMS,  48, 226N,  813W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMS,  60, 223N,  825W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMS,  72, 224N,  842W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMS,  84, 232N,  858W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMS,  96, 244N,  873W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMS, 108, 253N,  888W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, BAMS, 120, 261N,  901W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLIP,  12, 240N,  767W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLIP,  24, 249N,  780W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLIP,  36, 256N,  789W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLIP,  48, 264N,  794W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLIP,  72, 278N,  792W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLP5,  12, 240N,  765W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLP5,  24, 250N,  775W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLP5,  36, 261N,  779W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLP5,  48, 272N,  778W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLP5,  60, 279N,  774W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLP5,  72, 286N,  767W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLP5,  84, 296N,  759W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLP5,  96, 305N,  749W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLP5, 108, 315N,  737W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, CLP5, 120, 324N,  724W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSHP,   0, 230N,  750W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSHP,  12, 222N,  760W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSHP,  24, 213N,  777W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSHP,  36, 207N,  793W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSHP,  48, 201N,  806W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSHP,  60, 195N,  819W,  16,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSHP,  72, 190N,  836W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSHP,  84, 190N,  856W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSHP,  96, 193N,  876W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSHP, 108, 196N,  896W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSHP, 120, 199N,  913W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSNS,   0, 230N,  750W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSNS,  12, 222N,  760W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSNS,  24, 213N,  777W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSNS,  36, 207N,  793W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSNS,  48, 201N,  806W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSNS,  60, 195N,  819W,  18,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSNS,  72, 190N,  836W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSNS,  84, 190N,  856W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSNS,  96, 193N,  876W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSNS, 108, 196N,  896W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, DSNS, 120, 199N,  913W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, LBAR,   0, 230N,  750W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, LBAR,  12, 230N,  753W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, LBAR,  24, 231N,  760W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, LBAR,  36, 234N,  765W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, LBAR,  48, 240N,  760W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, LBAR,  60, 253N,  740W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, LBAR,  72, 273N,  711W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, LBAR,  84, 297N,  681W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, LBAR,  96, 319N,  653W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, LBAR, 108, 337N,  622W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, LBAR, 120, 344N,  591W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHF5,   0,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHF5,  12,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHF5,  24,   0N,    0W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHF5,  36,   0N,    0W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHF5,  48,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHF5,  60,   0N,    0W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHF5,  72,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHF5,  84,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHF5,  96,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHF5, 108,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHF5, 120,   0N,    0W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHFR,  12,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHFR,  24,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHFR,  36,   0N,    0W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHFR,  48,   0N,    0W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHFR,  60,   0N,    0W,  52,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHFR,  72,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
