WP, 10, 2012072900, 03, AVNO, 096, 252N, 1257E,  68,  968, XX,  50, NEQ, 0100, 0099, 0103, 0105
WP, 10, 2012072900, 03, AVNO, 096, 252N, 1257E,  68,  968, XX,  64, NEQ, 0000, 0075, 0077, 0000
WP, 10, 2012072900, 03, AVNO, 102, 259N, 1259E,  74,  966, XX,  34, NEQ, 0215, 0298, 0342, 0206
WP, 10, 2012072900, 03, AVNO, 102, 259N, 1259E,  74,  966, XX,  50, NEQ, 0094, 0104, 0117, 0103
WP, 10, 2012072900, 03, AVNO, 102, 259N, 1259E,  74,  966, XX,  64, NEQ, 0060, 0082, 0078, 0000
WP, 10, 2012072900, 03, AVNO, 108, 269N, 1256E,  73,  967, XX,  34, NEQ, 0251, 0182, 0189, 0188
WP, 10, 2012072900, 03, AVNO, 108, 269N, 1256E,  73,  967, XX,  50, NEQ, 0121, 0113, 0085, 0092
WP, 10, 2012072900, 03, AVNO, 108, 269N, 1256E,  73,  967, XX,  64, NEQ, 0085, 0065, 0064, 0000
WP, 10, 2012072900, 03, AVNO, 114, 279N, 1253E,  76,  967, XX,  34, NEQ, 0233, 0180, 0210, 0191
WP, 10, 2012072900, 03, AVNO, 114, 279N, 1253E,  76,  967, XX,  50, NEQ, 0112, 0120, 0122, 0085
WP, 10, 2012072900, 03, AVNO, 114, 279N, 1253E,  76,  967, XX,  64, NEQ, 0088, 0084, 0000, 0068
WP, 10, 2012072900, 03, AVNO, 120, 290N, 1245E,  75,  967, XX,  34, NEQ, 0271, 0183, 0221, 0218
WP, 10, 2012072900, 03, AVNO, 120, 290N, 1245E,  75,  967, XX,  50, NEQ, 0124, 0117, 0091, 0097
WP, 10, 2012072900, 03, AVNO, 120, 290N, 1245E,  75,  967, XX,  64, NEQ, 0089, 0086, 0000, 0071
WP, 10, 2012072900, 03, AVNO, 126, 296N, 1236E,  81,  965, XX,  34, NEQ, 0218, 0178, 0271, 0192
WP, 10, 2012072900, 03, AVNO, 126, 296N, 1236E,  81,  965, XX,  50, NEQ, 0109, 0102, 0103, 0096
WP, 10, 2012072900, 03, AVNO, 126, 296N, 1236E,  81,  965, XX,  64, NEQ, 0088, 0079, 0068, 0084
WP, 10, 2012072900, 03, AVNO, 132, 299N, 1227E,  74,  967, XX,  34, NEQ, 0217, 0204, 0242, 0217
WP, 10, 2012072900, 03, AVNO, 132, 299N, 1227E,  74,  967, XX,  50, NEQ, 0117, 0096, 0088, 0101
WP, 10, 2012072900, 03, AVNO, 132, 299N, 1227E,  74,  967, XX,  64, NEQ, 0081, 0076, 0058, 0076
WP, 10, 2012072900, 03, AVNO, 138, 302N, 1218E,  71,  969, XX,  34, NEQ, 0202, 0222, 0318, 0174
WP, 10, 2012072900, 03, AVNO, 138, 302N, 1218E,  71,  969, XX,  50, NEQ, 0089, 0097, 0000, 0000
WP, 10, 2012072900, 03, AVNO, 138, 302N, 1218E,  71,  969, XX,  64, NEQ, 0070, 0065, 0000, 0000
WP, 10, 2012072900, 03, AVNO, 144, 304N, 1211E,  58,  974, XX,  34, NEQ, 0174, 0267, 0324, 0158
WP, 10, 2012072900, 03, AVNO, 144, 304N, 1211E,  58,  974, XX,  50, NEQ, 0107, 0091, 0000, 0000
WP, 10, 2012072900, 03, AVNO, 150, 304N, 1205E,  47,  977, XX,  34, NEQ, 0169, 0293, 0000, 0000
WP, 10, 2012072900, 03, AVNO, 156, 302N, 1203E,  44,  981, XX,  34, NEQ, 0139, 0258, 0000, 0000
WP, 10, 2012072900, 03, AVNO, 162, 301N, 1199E,  34,  983, XX,  34, NEQ, 0120, 0262, 0000, 0000
WP, 10, 2012072900, 03, AVNO, 168, 299N, 1196E,  32,  985, XX,  34, NEQ, 0000, 0254, 0000, 0000
WP, 10, 2012072900, 03, AVNO, 174, 298N, 1194E,  32,  986, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 10, 2012072900, 03, AVNO, 180, 296N, 1188E,  28,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 10, 2012072906, 03, AVNO, 000, 181N, 1259E,  39,  991, XX,  34, NEQ, 0092, 0249, 0645, 0091
WP, 10, 2012072906, 03, AVNO, 006, 184N, 1259E,  45,  990, XX,  34, NEQ, 0098, 0267, 0296, 0000
WP, 10, 2012072906, 03, AVNO, 012, 192N, 1260E,  46,  987, XX,  34, NEQ, 0113, 0645, 0345, 0000
WP, 10, 2012072906, 03, AVNO, 018, 201N, 1256E,  43,  985, XX,  34, NEQ, 0131, 0650, 0335, 0093
WP, 10, 2012072906, 03, AVNO, 024, 203N, 1249E,  40,  983, XX,  34, NEQ, 0104, 0650, 0323, 0193
WP, 10, 2012072906, 03, AVNO, 030, 202N, 1246E,  51,  982, XX,  34, NEQ, 0178, 0341, 0151, 0182
WP, 10, 2012072906, 03, AVNO, 030, 202N, 1246E,  51,  982, XX,  50, NEQ, 0000, 0000, 0080, 0000
WP, 10, 2012072906, 03, AVNO, 036, 204N, 1249E,  56,  980, XX,  34, NEQ, 0125, 0349, 0185, 0186
