CP, 83, 2008052912, 01, CARQ, -24, 181N, 1415W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 83, 2008052912, 01, CARQ, -18, 181N, 1427W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 83, 2008052912, 01, CARQ, -12, 183N, 1436W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 278,   7, 
CP, 83, 2008052912, 01, CARQ,  -6, 183N, 1442W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 83, 2008052912, 01, CARQ,   0, 183N, 1448W,  20, 1010, DB,  34, NEQ,    0,    0,    0,    0, 1011,  150,  40,   0,   0,   C,   0,   X, 275,   7,     INVEST, S, 
CP, 83, 2008052912, 01, CARQ,   0, 183N, 1448W,  20, 1010, DB,  50, NEQ,    0,    0,    0,    0, 1011,  150,  40,   0,   0,   C,   0,   X, 275,   7,     INVEST, S, 
CP, 83, 2008052912, 01, CARQ,   0, 183N, 1448W,  20, 1010, DB,  64, NEQ,    0,    0,    0,    0, 1011,  150,  40,   0,   0,   C,   0,   X, 275,   7,     INVEST, S, 
CP, 83, 2008052912, 03, BAMD,  12, 185N, 1450W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMD,  24, 185N, 1450W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMD,  36, 184N, 1451W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMD,  48, 183N, 1454W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMD,  60, 180N, 1461W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMD,  72, 176N, 1471W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMD,  84, 173N, 1484W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMD,  96, 172N, 1500W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMD, 108, 173N, 1516W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMD, 120, 173N, 1531W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMM,  12, 183N, 1458W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMM,  24, 182N, 1468W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMM,  36, 182N, 1480W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMM,  48, 180N, 1493W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMM,  60, 180N, 1508W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMM,  72, 180N, 1526W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMM,  84, 181N, 1545W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMM,  96, 183N, 1565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMM, 108, 185N, 1587W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMM, 120, 188N, 1609W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 83, 2008052912, 03, BAMS,  12, 179N, 1466W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
