WP, 02, 2020061200, 03, JTWC,   0, 160N, 1196E,  30,    0, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  40,   0,    ,   0, BCH,   0,   0, 
WP, 02, 2020061200, 03, JTWC,   3, 163N, 1192E,  30,    0, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  40,   0,    ,   0, BCH,   0,   0, 
WP, 02, 2020061200, 03, JTWC,  12, 170N, 1178E,  40,    0, TS,  34, NEQ,   70,   70,   70,   40,    0,    0,   0,  50,   0,    ,   0, BCH,   0,   0, 
WP, 02, 2020061200, 03, JTWC,  24, 183N, 1163E,  50,    0, TS,  34, NEQ,   60,   90,   80,   40,    0,    0,   0,  65,   0,    ,   0, BCH,   0,   0, 
WP, 02, 2020061200, 03, JTWC,  24, 183N, 1163E,  50,    0, TS,  50, NEQ,   20,   20,   10,    0,    0,    0,   0,  65,   0,    ,   0, BCH,   0,   0, 
WP, 02, 2020061200, 03, JTWC,  36, 199N, 1144E,  55,    0, TS,  34, NEQ,   60,   80,   70,   40,    0,    0,   0,  70,   0,    ,   0, BCH,   0,   0, 
WP, 02, 2020061200, 03, JTWC,  36, 199N, 1144E,  55,    0, TS,  50, NEQ,   10,   20,   20,   10,    0,    0,   0,  70,   0,    ,   0, BCH,   0,   0, 
WP, 02, 2020061200, 03, JTWC,  48, 214N, 1126E,  50,    0, TS,  34, NEQ,   90,  110,   80,   40,    0,    0,   0,  65,   0,    ,   0, BCH,   0,   0, 
WP, 02, 2020061200, 03, JTWC,  48, 214N, 1126E,  50,    0, TS,  50, NEQ,   10,   30,    0,    0,    0,    0,   0,  65,   0,    ,   0, BCH,   0,   0, 
WP, 02, 2020061200, 03, JTWC,  72, 235N, 1107E,  30,    0, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  40,   0,    ,   0, BCH,   0,   0, 
WP, 02, 2020061200, 03, JTWC,  96, 254N, 1105E,  20,    0, DB,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  30,   0,    ,   0, BCH,   0,   0, 
WP, 02, 2020061200, 03, NG01, 000, 156N, 1188E,  36, 1003, XX,  34, NEQ, 0073, 0121, 0000, 0000,    0,    0, 115
WP, 02, 2020061200, 03, NG01, 006, 166N, 1183E,  43,  999, XX,  34, NEQ, 0099, 0067, 0000, 0000,    0,    0, 073
WP, 02, 2020061200, 03, NG01, 012, 177N, 1177E,  39,  999, XX,  34, NEQ, 0134, 0107, 0000, 0000,    0,    0, 133
WP, 02, 2020061200, 03, NG01, 018, 188N, 1167E,  36,  999, XX,  34, NEQ, 0258, 0123, 0000, 0000,    0,    0, 105
WP, 02, 2020061200, 03, NG01, 024, 201N, 1159E,  37, 1001, XX,  34, NEQ, 0094, 0099, 0000, 0000,    0,    0, 073
WP, 02, 2020061200, 03, NG01, 030, 217N, 1152E,  34, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 103
WP, 02, 2020061200, 03, NG01, 036, 232N, 1144E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 095
WP, 02, 2020061200, 03, NG01, 042, 250N, 1139E,  18, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 160
WP, 02, 2020061200, 03, NG02, 000, 159N, 1207E,  31, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 134
WP, 02, 2020061200, 03, NG02, 006, 173N, 1195E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 146
WP, 02, 2020061200, 03, NG02, 012, 174N, 1188E,  31, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 159
WP, 02, 2020061200, 03, NG02, 018, 176N, 1186E,  32, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 089
WP, 02, 2020061200, 03, NG02, 024, 185N, 1184E,  43, 1002, XX,  34, NEQ, 0105, 0103, 0000, 0000,    0,    0, 093
WP, 02, 2020061200, 03, NG02, 030, 197N, 1172E,  38, 1001, XX,  34, NEQ, 0000, 0158, 0000, 0000,    0,    0, 136
WP, 02, 2020061200, 03, NG02, 036, 201N, 1159E,  33, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 130
WP, 02, 2020061200, 03, NG02, 042, 202N, 1148E,  31, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 158
WP, 02, 2020061200, 03, NG02, 048, 208N, 1140E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 154
WP, 02, 2020061200, 03, NG02, 054, 212N, 1134E,  29, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 090
WP, 02, 2020061200, 03, NG02, 060, 215N, 1127E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 074
WP, 02, 2020061200, 03, NG02, 066, 221N, 1119E,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 161
WP, 02, 2020061200, 03, NG02, 072, 227N, 1108E,  18, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 142
WP, 02, 2020061200, 03, NG02, 078, 236N, 1096E,  17, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 142
WP, 02, 2020061200, 03, NG02, 084, 241N, 1078E,  14, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 162
WP, 02, 2020061200, 03, NG03, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, ***
WP, 02, 2020061200, 03, NG04, 000, 148N, 1188E,  33, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 145
WP, 02, 2020061200, 03, NG04, 006, 154N, 1185E,  34,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 078
WP, 02, 2020061200, 03, NG04, 012, 159N, 1181E,  46,  997, XX,  34, NEQ, 0128, 0122, 0000, 0000,    0,    0, 083
WP, 02, 2020061200, 03, NG04, 018, 166N, 1175E,  41,  994, XX,  34, NEQ, 0134, 0138, 0100, 0000,    0,    0, 103
WP, 02, 2020061200, 03, NG04, 024, 176N, 1169E,  48,  993, XX,  34, NEQ, 0147, 0156, 0208, 0000,    0,    0, 149
WP, 02, 2020061200, 03, NG04, 030, 190N, 1162E,  51,  990, XX,  34, NEQ, 0183, 0239, 0126, 0064,    0,    0, 082
WP, 02, 2020061200, 03, NG04, 030, 190N, 1162E,  51,  990, XX,  50, NEQ, 0118, 0092, 0000, 0000,    0,    0, 082
WP, 02, 2020061200, 03, NG04, 036, 200N, 1148E,  45,  990, XX,  34, NEQ, 0197, 0166, 0066, 0070,    0,    0, 070
WP, 02, 2020061200, 03, NG04, 042, 209N, 1135E,  50,  988, XX,  34, NEQ, 0229, 0050, 0095, 0066,    0,    0, 108
WP, 02, 2020061200, 03, NG04, 042, 209N, 1135E,  50,  988, XX,  50, NEQ, 0110, 0000, 0000, 0000,    0,    0, 108
WP, 02, 2020061200, 03, NG04, 048, 214N, 1122E,  44,  991, XX,  34, NEQ, 0114, 0140, 0072, 0000,    0,    0, 101
WP, 02, 2020061200, 03, NG04, 054, 218N, 1110E,  43,  991, XX,  34, NEQ, 0140, 0132, 0000, 0000,    0,    0, 083
WP, 02, 2020061200, 03, NG04, 060, 225N, 1097E,  27,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 094
WP, 02, 2020061200, 03, NG04, 066, 225N, 1076E,  25,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 122
WP, 02, 2020061200, 03, NG04, 072, 229N, 1068E,  23,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 150
WP, 02, 2020061200, 03, NG04, 078, 236N, 1058E,  19,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 083
WP, 02, 2020061200, 03, NG04, 084, 246N, 1050E,  14,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 111
WP, 02, 2020061200, 03, NG05, 000, 167N, 1185E,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 088
WP, 02, 2020061200, 03, NG05, 006, 166N, 1182E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 040
WP, 02, 2020061200, 03, NG05, 012, 164N, 1175E,  19, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 141
WP, 02, 2020061200, 03, NG05, 018, 164N, 1174E,  22, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 127
WP, 02, 2020061200, 03, NG05, 024, 178N, 1174E,  23, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 092
WP, 02, 2020061200, 03, NG05, 030, 187N, 1165E,  23, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 148
WP, 02, 2020061200, 03, NG05, 036, 195N, 1157E,  23, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 122
WP, 02, 2020061200, 03, NG05, 042, 201N, 1139E,  20, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 128
WP, 02, 2020061200, 03, NG05, 048, 181N, 1130E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 158
WP, 02, 2020061200, 03, NG05, 054, 184N, 1131E,  30, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 154
WP, 02, 2020061200, 03, NG05, 060, 190N, 1127E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 135
WP, 02, 2020061200, 03, NG05, 066, 192N, 1124E,  27, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 095
WP, 02, 2020061200, 03, NG05, 072, 194N, 1132E,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 097
WP, 02, 2020061200, 03, NG05, 078, 196N, 1137E,  31,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 098
WP, 02, 2020061200, 03, NG05, 084, 200N, 1147E,  33,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 100
WP, 02, 2020061200, 03, NG05, 090, 204N, 1155E,  34,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 147
WP, 02, 2020061200, 03, NG05, 096, 213N, 1175E,  39,  997, XX,  34, NEQ, 0122, 0246, 0000, 0000,    0,    0, 112
WP, 02, 2020061200, 03, NG05, 102, 222N, 1181E,  36,  996, XX,  34, NEQ, 0084, 0183, 0000, 0000,    0,    0, 130
WP, 02, 2020061200, 03, NG05, 108, 235N, 1181E,  32,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 161
