AL, 09, 2023082012, 03, IVCN, 144,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, IVCN, 156,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, IVCN, 168,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM,   0, 241N,  832W,  20,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM,  12, 244N,  861W,  22,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM,  24, 247N,  893W,  24,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM,  36, 252N,  928W,  28,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM,  48, 259N,  966W,  30,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM,  60, 271N, 1001W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM,  72, 290N, 1036W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM,  84, 317N, 1062W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM,  96, 344N, 1072W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM, 108, 366N, 1070W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM, 120, 381N, 1065W,  28,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM, 132,   0N,    0W,  29,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM, 144,   0N,    0W,  29,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM, 156,   0N,    0W,  30,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, LGEM, 168,   0N,    0W,  30,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03,  NGX,   0, 249N,  835W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, NNIB,   0, 241N,  833W,  20,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, NNIB,  12, 243N,  847W,  22,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, NNIB,  24, 244N,  861W,  26,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, NNIB,  36, 245N,  877W,  33,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, NNIB,  48, 247N,  894W,  40,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 09, 2023082012, 03, NNIB,  60, 249N,  912W,  31,    0, TD,   0,    ,    0,    0,    0,    0, 
