EP, 10, 2014080406, 03, NVGM, 156, 190N, 1541W,  69,  996, XX,  64, NEQ, 0054, 0051, 0000, 0000
EP, 10, 2014080406, 03, NVGM, 162, 195N, 1559W,  71,  997, XX,  34, NEQ, 0220, 0163, 0115, 0245
EP, 10, 2014080406, 03, NVGM, 162, 195N, 1559W,  71,  997, XX,  50, NEQ, 0110, 0086, 0000, 0105
EP, 10, 2014080406, 03, NVGM, 162, 195N, 1559W,  71,  997, XX,  64, NEQ, 0097, 0000, 0000, 0060
EP, 10, 2014080406, 03, NVGM, 168, 200N, 1570W,  63,  998, XX,  34, NEQ, 0350, 0171, 0085, 0178
EP, 10, 2014080406, 03, NVGM, 168, 200N, 1570W,  63,  998, XX,  50, NEQ, 0124, 0000, 0000, 0078
EP, 10, 2014080406, 03, NVGM, 174, 203N, 1582W,  57,  999, XX,  34, NEQ, 0180, 0139, 0078, 0260
EP, 10, 2014080406, 03, NVGM, 174, 203N, 1582W,  57,  999, XX,  50, NEQ, 0092, 0068, 0000, 0089
EP, 10, 2014080406, 03, NVGM, 180, 207N, 1593W,  61,  998, XX,  34, NEQ, 0335, 0178, 0102, 0215
EP, 10, 2014080406, 03, NVGM, 180, 207N, 1593W,  61,  998, XX,  50, NEQ, 0138, 0085, 0000, 0086
EP, 10, 2014080412, 03, COTC, 054, 155N, 1329W,  66,  987, XX,  34, NEQ, 0069, 0058, 0057, 0066,    0,    0, 023
EP, 10, 2014080412, 03, COTC, 054, 155N, 1329W,  66,  987, XX,  50, NEQ, 0033, 0031, 0030, 0035,    0,    0, 023
EP, 10, 2014080412, 03, COTC, 054, 155N, 1329W,  66,  987, XX,  64, NEQ, 0026, 0000, 0000, 0000,    0,    0, 023
EP, 10, 2014080412, 03, COTC, 060, 156N, 1346W,  60,  990, XX,  34, NEQ, 0090, 0051, 0040, 0074,    0,    0, 030
EP, 10, 2014080412, 03, COTC, 060, 156N, 1346W,  60,  990, XX,  50, NEQ, 0041, 0029, 0000, 0040,    0,    0, 030
EP, 10, 2014080412, 03, COTC, 066, 157N, 1364W,  67,  990, XX,  34, NEQ, 0082, 0055, 0035, 0082,    0,    0, 027
EP, 10, 2014080412, 03, COTC, 066, 157N, 1364W,  67,  990, XX,  50, NEQ, 0047, 0029, 0014, 0040,    0,    0, 027
EP, 10, 2014080412, 03, COTC, 066, 157N, 1364W,  67,  990, XX,  64, NEQ, 0030, 0000, 0000, 0000,    0,    0, 027
EP, 10, 2014080412, 03, COTC, 072, 160N, 1378W,  61,  995, XX,  34, NEQ, 0080, 0067, 0034, 0070,    0,    0, 030
EP, 10, 2014080412, 03, COTC, 072, 160N, 1378W,  61,  995, XX,  50, NEQ, 0039, 0033, 0000, 0035,    0,    0, 030
EP, 10, 2014080412, 03, COTC, 078, 164N, 1392W,  60,  997, XX,  34, NEQ, 0080, 0053, 0037, 0084,    0,    0, 022
EP, 10, 2014080412, 03, COTC, 078, 164N, 1392W,  60,  997, XX,  50, NEQ, 0029, 0026, 0000, 0030,    0,    0, 022
EP, 10, 2014080412, 03, COTC, 084, 165N, 1410W,  59,  998, XX,  34, NEQ, 0105, 0052, 0020, 0065,    0,    0, 037
