EP, 98, 2016071400, 03, COTC, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, ***
EP, 98, 2016071400, 03, GFDN,   0, 113N, 1010W,  24, 1007
EP, 98, 2016071400, 03, GFDN,   6, 113N, 1019W,  30, 1006
EP, 98, 2016071400, 03, GFDN,  12, 115N, 1027W,  39, 1006
EP, 98, 2016071400, 03, GFDN,  18, 117N, 1035W,  47, 1005
EP, 98, 2016071400, 03, GFDN,  24, 119N, 1043W,  51, 1004
EP, 98, 2016071400, 03, GFDN,  30, 123N, 1049W,  46, 1003
EP, 98, 2016071400, 03, GFDN,  36, 129N, 1056W,  47, 1001
EP, 98, 2016071400, 03, GFDN,  42, 132N, 1064W,  58,  997
EP, 98, 2016071400, 03, GFDN,  48, 134N, 1068W,  58,  993
EP, 98, 2016071400, 03, GFDN,  54, 138N, 1070W,  49,  995
EP, 98, 2016071400, 03, GFDN,  60, 143N, 1075W,  45,  996
EP, 98, 2016071400, 03, GFDN,  66, 146N, 1079W,  44,  997
EP, 98, 2016071400, 03, GFDN,  72, 150N, 1087W,  59,  997
EP, 98, 2016071400, 03, GFDN,  78, 154N, 1092W,  42,  999
EP, 98, 2016071400, 03, GFDN,  84, 155N, 1100W,  41,  999
EP, 98, 2016071400, 03, GFDN,  90, 156N, 1106W,  44,  999
EP, 98, 2016071400, 03, GFDN,  96, 157N, 1112W,  37, 1000
EP, 98, 2016071400, 03, GFDN, 102, 161N, 1116W,  34, 1001
EP, 98, 2016071400, 03, GFDN, 108, 165N, 1123W,  37,  997
EP, 98, 2016071400, 03, GFDN, 114, 167N, 1125W,  38,  997
EP, 98, 2016071400, 03, GFDN, 120, 169N, 1128W,  45,  997
EP, 98, 2016071400, 03, GFDN, 126, 171N, 1133W,  48,  996
EP, 98, 2016071400, 03, NG01, 000,  99N, 1000W,  25, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 072
EP, 98, 2016071400, 03, NG01, 006,  99N, 1006W,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 060
EP, 98, 2016071400, 03, NG01, 012, 101N, 1013W,  21, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 083
EP, 98, 2016071400, 03, NG01, 018, 108N, 1019W,  30, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 156
EP, 98, 2016071400, 03, NG01, 024, 115N, 1028W,  32, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 078
EP, 98, 2016071400, 03, NG01, 030, 123N, 1040W,  36, 1008, XX,  34, NEQ, 0103, 0000, 0000, 0000,    0,    0, 092
EP, 98, 2016071400, 03, NG01, 036, 128N, 1052W,  37, 1006, XX,  34, NEQ, 0096, 0000, 0000, 0074,    0,    0, 071
EP, 98, 2016071400, 03, NG01, 042, 132N, 1062W,  38, 1005, XX,  34, NEQ, 0090, 0000, 0000, 0066,    0,    0, 088
EP, 98, 2016071400, 03, NG01, 048, 135N, 1066W,  36, 1002, XX,  34, NEQ, 0079, 0000, 0000, 0076,    0,    0, 091
EP, 98, 2016071400, 03, NG01, 054, 136N, 1070W,  40, 1004, XX,  34, NEQ, 0103, 0078, 0100, 0083,    0,    0, 059
EP, 98, 2016071400, 03, NG01, 060, 138N, 1074W,  42, 1000, XX,  34, NEQ, 0093, 0094, 0127, 0063,    0,    0, 090
EP, 98, 2016071400, 03, NG01, 066, 141N, 1080W,  45, 1000, XX,  34, NEQ, 0131, 0115, 0063, 0057,    0,    0, 063
EP, 98, 2016071400, 03, NG01, 072, 145N, 1086W,  47,  998, XX,  34, NEQ, 0127, 0103, 0100, 0037,    0,    0, 070
EP, 98, 2016071400, 03, NG01, 078, 148N, 1093W,  46,  999, XX,  34, NEQ, 0109, 0110, 0150, 0034,    0,    0, 065
EP, 98, 2016071400, 03, NG01, 084, 149N, 1099W,  47,  996, XX,  34, NEQ, 0138, 0105, 0119, 0033,    0,    0, 071
EP, 98, 2016071400, 03, NG01, 090, 150N, 1105W,  56,  996, XX,  34, NEQ, 0122, 0126, 0131, 0099,    0,    0, 060
EP, 98, 2016071400, 03, NG01, 090, 150N, 1105W,  56,  996, XX,  50, NEQ, 0074, 0081, 0000, 0000,    0,    0, 060
EP, 98, 2016071400, 03, NG01, 096, 153N, 1112W,  56,  994, XX,  34, NEQ, 0133, 0129, 0149, 0139,    0,    0, 072
EP, 98, 2016071400, 03, NG01, 096, 153N, 1112W,  56,  994, XX,  50, NEQ, 0086, 0076, 0000, 0057,    0,    0, 072
EP, 98, 2016071400, 03, NG01, 102, 156N, 1119W,  64,  994, XX,  34, NEQ, 0151, 0025, 0150, 0024,    0,    0, 057
