AL, 94, 2006081500, 03, NGPS,   0, 131N,  208W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006081500, 03, NGPS,   6, 129N,  209W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006081500, 03, NGPS,  12, 134N,  206W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006081500, 03, NGPS,  18, 140N,  197W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006081500, 03, NGPS,  24, 142N,  194W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006081500, 03, NGPS,  30, 140N,  191W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006081500, 03, NGPS,  36, 136N,  192W,  11, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006081506, 03, NGPS,   0, 129N,  209W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006081506, 03, NGPS,   6, 135N,  221W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006081506, 03, NGPS,  12, 136N,  248W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006081506, 03, NGPS,  18, 138N,  254W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006081506, 03, NGPS,  24, 143N,  246W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2006091206, 01, CARQ, -24, 130N,  135W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 94, 2006091206, 01, CARQ, -18, 130N,  153W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 94, 2006091206, 01, CARQ, -12, 130N,  170W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 270,  17, 
AL, 94, 2006091206, 01, CARQ,  -6, 130N,  187W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 94, 2006091206, 01, CARQ,   0, 130N,  205W,  25, 1007, DB,  34, NEQ,    0,    0,    0,    0, 1010,  150,  40,   0,   0,   L,   0,   X, 270,  17,     INVEST, D, 
AL, 94, 2006091206, 01, CARQ,   0, 130N,  205W,  25, 1007, DB,  50, NEQ,    0,    0,    0,    0, 1010,  150,  40,   0,   0,   L,   0,   X, 270,  17,     INVEST, D, 
AL, 94, 2006091206, 01, CARQ,   0, 130N,  205W,  25, 1007, DB,  64, NEQ,    0,    0,    0,    0, 1010,  150,  40,   0,   0,   L,   0,   X, 270,  17,     INVEST, D, 
AL, 94, 2006091206, 03, A90E,   0, 130N,  205W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A90E,  12, 131N,  240W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A90E,  24, 133N,  276W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A90E,  36, 134N,  311W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A90E,  48, 138N,  345W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A90E,  60, 141N,  378W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A90E,  72, 146N,  401W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A90E,  84, 152N,  423W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A90E,  96, 160N,  446W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A90E, 108, 172N,  466W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A90E, 120, 190N,  484W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A98E,   0, 130N,  205W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A98E,  12, 131N,  240W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A98E,  24, 133N,  276W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A98E,  36, 135N,  310W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A98E,  48, 138N,  344W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A98E,  60, 142N,  376W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A98E,  72, 147N,  399W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A98E,  84, 153N,  421W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A98E,  96, 161N,  443W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A98E, 108, 173N,  462W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, A98E, 120, 190N,  479W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMD,  12, 136N,  238W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMD,  24, 141N,  274W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMD,  36, 145N,  314W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMD,  48, 150N,  356W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMD,  60, 156N,  398W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMD,  72, 161N,  433W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMD,  84, 163N,  463W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMD,  96, 167N,  487W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMD, 108, 173N,  507W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMD, 120, 180N,  518W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMM,  12, 135N,  241W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMM,  24, 137N,  280W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMM,  36, 139N,  325W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMM,  48, 140N,  370W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMM,  60, 139N,  414W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMM,  72, 136N,  450W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMM,  84, 137N,  477W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMM,  96, 141N,  492W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMM, 108, 154N,  500W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMM, 120, 171N,  503W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMS,  12, 130N,  234W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMS,  24, 133N,  268W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMS,  36, 140N,  305W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMS,  48, 146N,  343W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMS,  60, 154N,  385W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMS,  72, 161N,  424W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMS,  84, 169N,  459W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMS,  96, 177N,  487W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMS, 108, 187N,  510W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, BAMS, 120, 194N,  528W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, CLIP,  12, 131N,  240W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, CLIP,  24, 134N,  277W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, CLIP,  36, 138N,  312W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, CLIP,  48, 145N,  347W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, CLIP,  72, 160N,  407W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, CLP5,  12, 132N,  238W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, CLP5,  24, 136N,  268W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2006091206, 03, CLP5,  36, 142N,  297W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
