SH, 97, 2012123018, 03, GFDN,   0,  92S,  865E,  27, 1004
SH, 97, 2012123018, 03, GFDN,   6,  92S,  862E,  37, 1001
SH, 97, 2012123018, 03, GFDN,  12,  89S,  859E,  34, 1000
SH, 97, 2012123018, 03, GFDN,  18,  86S,  856E,  35,  999
SH, 97, 2012123018, 03, GFDN,  24,  85S,  851E,  41,  999
SH, 97, 2012123018, 03, GFDN,  30,  86S,  847E,  36,  999
SH, 97, 2012123018, 03, GFDN,  36,  87S,  839E,  44,  995
SH, 97, 2012123018, 03, GFDN,  42,  86S,  836E,  46,  992
SH, 97, 2012123018, 03, GFDN,  48,  90S,  832E,  41,  996
SH, 97, 2012123018, 03, GFDN,  54,  92S,  824E,  52,  991
SH, 97, 2012123018, 03, GFDN,  60,  94S,  817E,  47,  993
SH, 97, 2012123018, 03, GFDN,  66,  95S,  809E,  45,  994
SH, 97, 2012123018, 03, GFDN,  72,  97S,  801E,  38,  996
SH, 97, 2012123018, 03, GFDN,  78,  99S,  791E,  59,  993
SH, 97, 2012123018, 03, GFDN,  84, 101S,  781E,  39,  996
SH, 97, 2012123018, 03, GFDN,  90, 102S,  772E,  43,  994
SH, 97, 2012123018, 03, GFDN,  96, 103S,  764E,  48,  987
SH, 97, 2012123018, 03, GFDN, 102, 105S,  756E,  52,  983
SH, 97, 2012123018, 03, GFDN, 108, 108S,  750E,  62,  979
SH, 97, 2012123018, 03, GFDN, 114, 111S,  745E,  73,  972
SH, 97, 2012123018, 03, GFDN, 120, 116S,  739E,  80,  965
SH, 97, 2012123018, 03, GFDN, 126, 122S,  729E,  82,  961
SH, 97, 2012123018, 03, NGPS, 000,  88S,  864E,  16, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 006,  85S,  866E,  15, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 012,  84S,  867E,  13, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 018,  83S,  861E,  15, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 024,  83S,  858E,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 030,  82S,  847E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 036,  81S,  840E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 042,  80S,  839E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 048,  77S,  840E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 054,  72S,  841E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 060,  77S,  837E,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 066,  89S,  856E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 072,  86S,  854E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 078,  84S,  854E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 084,  84S,  859E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 090,  84S,  860E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 096,  84S,  861E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 102,  84S,  860E,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 108,  84S,  860E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 114,  84S,  862E,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 120,  84S,  865E,  29, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 126,  86S,  867E,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 97, 2012123018, 03, NGPS, 132,  87S,  868E,  36, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0072
SH, 97, 2012123018, 03, NGPS, 138,  81S,  861E,  52,  999, XX,  34, NEQ, 0078, 0000, 0089, 0135
SH, 97, 2012123018, 03, NGPS, 138,  81S,  861E,  52,  999, XX,  50, NEQ, 0000, 0000, 0000, 0063
SH, 97, 2012123018, 03, NGPS, 144,  80S,  866E,  43, 1000, XX,  34, NEQ, 0083, 0000, 0080, 0073
SH, 97, 2012123100, 03, GFDN,   0,  93S,  864E,  28, 1002
SH, 97, 2012123100, 03, GFDN,   6,  96S,  858E,  35, 1000
SH, 97, 2012123100, 03, GFDN,  12,  96S,  852E,  40,  998
SH, 97, 2012123100, 03, GFDN,  18,  92S,  845E,  37, 1000
SH, 97, 2012123100, 03, GFDN,  24,  89S,  842E,  30, 1000
SH, 97, 2012123100, 03, GFDN,  30,  88S,  838E,  29, 1000
SH, 97, 2012123100, 03, GFDN,  36,  88S,  836E,  32, 1000
SH, 97, 2012123100, 03, GFDN,  42,  89S,  834E,  26, 1002
SH, 97, 2012123100, 03, GFDN,  48,  89S,  831E,  29, 1001
SH, 97, 2012123100, 03, GFDN,  54,  90S,  826E,  35, 1001
SH, 97, 2012123100, 03, GFDN,  60,  93S,  822E,  27, 1001
SH, 97, 2012123100, 03, GFDN,  66,  96S,  813E,  27, 1002
