IO, 90, 2019113018, 03, AEMN, 096,  57N,  526E,  37, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 102,  59N,  522E,  38,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 108,  61N,  518E,  40,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 114,  63N,  514E,  38,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 120,  62N,  511E,  37, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 126,  63N,  507E,  35,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 132,  64N,  502E,  34, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 138,  64N,  497E,  31,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 144,  63N,  492E,  29, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 150,  63N,  486E,  28, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 156,  63N,  479E,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 162,  68N,  475E,  25, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 168,  70N,  471E,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 174,  75N,  465E,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 180,  77N,  458E,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 186,  77N,  451E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 192,  74N,  445E,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 198,  71N,  441E,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AEMN, 204,  75N,  441E,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP01, 000,  60N,  579E,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 000,  57N,  602E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 006,  62N,  596E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 012,  65N,  590E,  27, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 018,  67N,  580E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 024,  59N,  569E,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 030,  58N,  564E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 036,  54N,  554E,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 042,  52N,  548E,  29, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 048,  50N,  556E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 054,  53N,  561E,  24, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 060,  57N,  560E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 066,  60N,  558E,  24, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 072,  59N,  557E,  25, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 078,  57N,  554E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 084,  59N,  551E,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 090,  60N,  549E,  29, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 096,  60N,  551E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 102,  64N,  551E,  30, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 108,  68N,  548E,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 90, 2019113018, 03, AP02, 114,  71N,  547E,  35,  998, XX,  34, NEQ, 0000, 0000, 0072, 0000
IO, 90, 2019113018, 03, AP02, 120,  71N,  547E,  36, 1001, XX,  34, NEQ, 0000, 0000, 0070, 0080
