EP, 16, 2014091200, 03, NG01, 042, 163N, 1178W,  26, 1004, XX,  34, NEQ, 0347, 0335, 0000, 0000
EP, 16, 2014091200, 03, NG01, 048, 162N, 1173W,  28,  995, XX,  34, NEQ, 0334, 0299, 0000, 0000
EP, 16, 2014091200, 03, NG01, 054, 170N, 1169W,  20,  992, XX,  34, NEQ, 0260, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG01, 060, 174N, 1169W,  19,  990, XX,  34, NEQ, 0286, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 000, 158N, 1209W,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 006, 157N, 1208W,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 012, 152N, 1207W,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 018, 149N, 1205W,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 024, 145N, 1207W,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 030, 141N, 1210W,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 036, 140N, 1212W,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 042, 137N, 1214W,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 048, 134N, 1214W,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 054, 132N, 1215W,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 060, 131N, 1217W,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 066, 134N, 1213W,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 072, 135N, 1209W,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 078, 138N, 1207W,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 084, 142N, 1203W,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 090, 148N, 1198W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 096, 152N, 1191W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 102, 157N, 1189W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 108, 156N, 1181W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 114, 163N, 1170W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 120, 168N, 1159W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 126, 168N, 1149W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 132, 176N, 1142W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 138, 182N, 1133W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 144, 190N, 1133W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG02, 150, 191N, 1134W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 16, 2014091200, 03, NG03, 000, 157N, 1207W,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
