SH, 91, 2013011818, 03, NGPS, 066, 131S, 1732W,  53,  998, XX,  50, NEQ, 0064, 0045, 0000, 0000
SH, 91, 2013011818, 03, NGPS, 072, 133S, 1727W,  43,  997, XX,  34, NEQ, 0109, 0133, 0072, 0080
SH, 91, 2013011818, 03, NGPS, 078, 137S, 1723W,  49,  996, XX,  34, NEQ, 0128, 0070, 0000, 0066
SH, 91, 2013011818, 03, NGPS, 084, 141S, 1719W,  50,  995, XX,  34, NEQ, 0111, 0101, 0139, 0101
SH, 91, 2013011818, 03, NGPS, 084, 141S, 1719W,  50,  995, XX,  50, NEQ, 0000, 0061, 0000, 0000
SH, 91, 2013011818, 03, NGPS, 090, 145S, 1718W,  51,  994, XX,  34, NEQ, 0132, 0171, 0179, 0113
SH, 91, 2013011818, 03, NGPS, 090, 145S, 1718W,  51,  994, XX,  50, NEQ, 0000, 0046, 0058, 0000
SH, 91, 2013011818, 03, NGPS, 096, 148S, 1717W,  58,  993, XX,  34, NEQ, 0134, 0129, 0091, 0076
SH, 91, 2013011818, 03, NGPS, 096, 148S, 1717W,  58,  993, XX,  50, NEQ, 0000, 0062, 0098, 0000
SH, 91, 2013011818, 03, NGPS, 102, 152S, 1717W,  51,  991, XX,  34, NEQ, 0080, 0152, 0160, 0119
SH, 91, 2013011818, 03, NGPS, 102, 152S, 1717W,  51,  991, XX,  50, NEQ, 0000, 0000, 0000, 0051
SH, 91, 2013011818, 03, NGPS, 108, 153S, 1716W,  60,  989, XX,  34, NEQ, 0180, 0141, 0119, 0125
SH, 91, 2013011818, 03, NGPS, 108, 153S, 1716W,  60,  989, XX,  50, NEQ, 0082, 0087, 0000, 0063
SH, 91, 2013011818, 03, NGPS, 114, 155S, 1716W,  60,  986, XX,  34, NEQ, 0152, 0172, 0175, 0135
SH, 91, 2013011818, 03, NGPS, 114, 155S, 1716W,  60,  986, XX,  50, NEQ, 0092, 0078, 0101, 0106
SH, 91, 2013011818, 03, NGPS, 120, 155S, 1715W,  57,  985, XX,  34, NEQ, 0140, 0175, 0121, 0108
SH, 91, 2013011818, 03, NGPS, 120, 155S, 1715W,  57,  985, XX,  50, NEQ, 0079, 0078, 0073, 0068
SH, 91, 2013011818, 03, NGPS, 126, 157S, 1713W,  57,  984, XX,  34, NEQ, 0285, 0177, 0080, 0155
SH, 91, 2013011818, 03, NGPS, 126, 157S, 1713W,  57,  984, XX,  50, NEQ, 0078, 0087, 0080, 0066
SH, 91, 2013011818, 03, NGPS, 132, 161S, 1709W,  65,  982, XX,  34, NEQ, 0177, 0140, 0130, 0193
SH, 91, 2013011818, 03, NGPS, 132, 161S, 1709W,  65,  982, XX,  50, NEQ, 0066, 0083, 0092, 0075
SH, 91, 2013011818, 03, NGPS, 132, 161S, 1709W,  65,  982, XX,  64, NEQ, 0000, 0056, 0049, 0000
SH, 91, 2013011818, 03, NGPS, 138, 164S, 1704W,  61,  983, XX,  34, NEQ, 0192, 0129, 0166, 0180
SH, 91, 2013011818, 03, NGPS, 138, 164S, 1704W,  61,  983, XX,  50, NEQ, 0071, 0089, 0083, 0061
SH, 91, 2013011818, 03, NGPS, 144, 169S, 1699W,  64,  981, XX,  34, NEQ, 0174, 0152, 0198, 0107
