SH, 10, 2016021012, 03, NG04, 006, 251S,  520E,  41,  994, XX,  34, NEQ, 0118, 0292, 0000, 0113,    0,    0, 125
SH, 10, 2016021012, 03, NG04, 012, 257S,  526E,  37,  994, XX,  34, NEQ, 0146, 0340, 0000, 0120,    0,    0, 084
SH, 10, 2016021012, 03, NG04, 018, 266S,  531E,  38,  994, XX,  34, NEQ, 0134, 0098, 0000, 0134,    0,    0, 150
SH, 10, 2016021012, 03, NG04, 024, 273S,  536E,  38,  994, XX,  34, NEQ, 0131, 0250, 0000, 0000,    0,    0, 162
SH, 10, 2016021012, 03, NG04, 030, 282S,  539E,  39,  994, XX,  34, NEQ, 0000, 0203, 0000, 0000,    0,    0, 120
SH, 10, 2016021012, 03, NG04, 036, 293S,  538E,  39,  993, XX,  34, NEQ, 0245, 0215, 0000, 0000,    0,    0, 121
SH, 10, 2016021012, 03, NG04, 042, 309S,  541E,  35,  994, XX,  34, NEQ, 0263, 0154, 0000, 0000,    0,    0, 099
SH, 10, 2016021012, 03, NG04, 048, 325S,  543E,  33,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 137
SH, 10, 2016021012, 03, NG04, 054, 340S,  546E,  30,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 131
SH, 10, 2016021012, 03, NG04, 060, 354S,  554E,  27,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 103
SH, 10, 2016021012, 03, NG04, 066, 365S,  567E,  33,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 087
SH, 10, 2016021012, 03, NG04, 072, 374S,  583E,  33,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 112
SH, 10, 2016021012, 03, NG04, 078, 379S,  607E,  34,  991, XX,  34, NEQ, 0000, 0000, 0081, 0000,    0,    0, 082
SH, 10, 2016021012, 03, NG04, 084, 382S,  633E,  34,  990, XX,  34, NEQ, 0000, 0000, 0341, 0153,    0,    0, 154
SH, 10, 2016021012, 03, NG04, 090, 387S,  678E,  34,  989, XX,  34, NEQ, 0000, 0322, 0326, 0000,    0,    0, 061
SH, 10, 2016021012, 03, NG05, 000, 245S,  521E,  38,  997, XX,  34, NEQ, 0000, 0340, 0000, 0110,    0,    0, 110
SH, 10, 2016021012, 03, NG05, 006, 246S,  529E,  35,  995, XX,  34, NEQ, 0000, 0267, 0000, 0000,    0,    0, 154
SH, 10, 2016021012, 03, NG05, 012, 254S,  534E,  39,  995, XX,  34, NEQ, 0000, 0210, 0000, 0000,    0,    0, 132
SH, 10, 2016021012, 03, NG05, 018, 261S,  536E,  37,  995, XX,  34, NEQ, 0289, 0190, 0000, 0000,    0,    0, 135
SH, 10, 2016021012, 03, NG05, 024, 269S,  537E,  39,  996, XX,  34, NEQ, 0000, 0279, 0000, 0000,    0,    0, 142
SH, 10, 2016021012, 03, NG05, 030, 275S,  537E,  38,  997, XX,  34, NEQ, 0000, 0110, 0000, 0000,    0,    0, 111
SH, 10, 2016021012, 03, NG05, 036, 279S,  540E,  34,  996, XX,  34, NEQ, 0000, 0165, 0000, 0000,    0,    0, 086
SH, 10, 2016021012, 03, NG05, 042, 283S,  541E,  34,  997, XX,  34, NEQ, 0000, 0281, 0000, 0000,    0,    0, 108
SH, 10, 2016021012, 03, NG05, 048, 291S,  547E,  30,  995, XX,  34, NEQ, 0000, 0211, 0000, 0000,    0,    0, 121
SH, 10, 2016021012, 03, NG05, 054, 297S,  545E,  32,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 132
