AL, 99, 2014083112, 03, GFDN,   0, 176N,  877W,  31, 1006
AL, 99, 2014083112, 03, GFDN,   6, 183N,  888W,  33, 1006
AL, 99, 2014083112, 03, GFDN,  12, 187N,  901W,  27, 1004
AL, 99, 2014083112, 03, GFDN,  18, 193N,  911W,  32, 1005
AL, 99, 2014083112, 03, GFDN,  24, 202N,  921W,  42, 1004
AL, 99, 2014083112, 03, GFDN,  30, 212N,  928W,  41, 1003
AL, 99, 2014083112, 03, GFDN,  36, 218N,  940W,  38, 1004
AL, 99, 2014083112, 03, GFDN,  42, 223N,  953W,  44, 1003
AL, 99, 2014083112, 03, GFDN,  48, 228N,  963W,  38, 1004
AL, 99, 2014083112, 03, GFDN,  54, 225N,  970W,  32, 1003
AL, 99, 2014083112, 03, GFDN,  60, 221N,  974W,  39, 1001
AL, 99, 2014083112, 03, GFDN,  66, 221N,  979W,  31, 1003
AL, 99, 2014083112, 03, GFDN,  72, 218N,  981W,  28, 1004
AL, 99, 2014083112, 03, GFDN,  78, 217N,  977W,  27, 1003
AL, 99, 2014083112, 03, GFDN,  84, 217N,  977W,  26, 1002
AL, 99, 2014083112, 03, GFDN,  90, 217N,  978W,  26, 1006
AL, 99, 2014083112, 03, GFDN,  96, 218N,  979W,  25, 1007
AL, 99, 2014083112, 03, GFDN, 102, 218N,  979W,  21, 1003
AL, 99, 2014083112, 03, GFDN, 108, 217N,  979W,  22, 1004
AL, 99, 2014083112, 03, GFDN, 114, 217N,  977W,  23, 1009
AL, 99, 2014083112, 03, GFDN, 120, 215N,  974W,  19, 1011
AL, 99, 2014083112, 03, NG02, 060, 227N,  965W,  18, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 99, 2014083112, 03, NG03, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 99, 2014083112, 03, NG04, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 99, 2014083112, 03, NG05, 000, 172N,  895W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 99, 2014083112, 03, NG05, 006, 173N,  904W,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 99, 2014083112, 03, NG05, 012, 178N,  907W,  18, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 99, 2014083112, 03, NG05, 018, 188N,  911W,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 99, 2014083112, 03, NG05, 024, 198N,  919W,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 99, 2014083112, 03, NG05, 030, 207N,  923W,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 99, 2014083112, 03, NG05, 036, 212N,  929W,  17, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 99, 2014083112, 03, NG05, 042, 223N,  932W,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 99, 2014083112, 03, NG05, 048, 231N,  939W,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
