AL, 92, 2014091100, 03, NG03, 144, 280N,  885W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG03, 150, 276N,  887W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG03, 156, 273N,  887W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG03, 162, 270N,  886W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG03, 168, 263N,  888W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG03, 174, 259N,  891W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG03, 180, 260N,  893W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG04, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 000, 261N,  763W,  15, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 006, 260N,  770W,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 012, 260N,  772W,  19, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 018, 254N,  777W,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 024, 251N,  782W,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 030, 248N,  790W,  21, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 036, 245N,  798W,  23, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 042, 242N,  804W,  25, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
