WP, 14, 2014090712, 03, COTC, 000, 191N, 1121E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 055
WP, 14, 2014090712, 03, COTC, 006, 197N, 1113E,  17, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 069
WP, 14, 2014090712, 03, COTC, 012, 204N, 1109E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 015
WP, 14, 2014090712, 03, COTC, 018, 215N, 1106E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 077
WP, 14, 2014090712, 03, COTC, 024, 218N, 1100E,  23, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 056
WP, 14, 2014090712, 03, COTC, 030, 229N, 1089E,  18, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 104
WP, 14, 2014090712, 03, COTC, 036, 240N, 1089E,  11, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 100
WP, 14, 2014090712, 03, GFDN,   0, 191N, 1119E,  23, 1003
WP, 14, 2014090712, 03, GFDN,   6, 194N, 1116E,  23, 1002
WP, 14, 2014090712, 03, GFDN,  12, 199N, 1112E,  21, 1003
WP, 14, 2014090712, 03, GFDN,  18, 203N, 1109E,  21, 1002
WP, 14, 2014090712, 03, GFDN,  24, 207N, 1102E,  23, 1002
WP, 14, 2014090712, 03, GFDN,  30, 212N, 1094E,  21, 1003
WP, 14, 2014090712, 03, GFDN,  36, 220N, 1090E,  18, 1005
WP, 14, 2014090712, 03, GFDN,  42, 228N, 1091E,  15, 1003
WP, 14, 2014090712, 03, GFDN,  48, 233N, 1086E,  10, 1004
WP, 14, 2014090712, 03, GFDN,  54, 238N, 1083E,  12, 1004
WP, 14, 2014090712, 03, NG02, 108, 182N, 1054E,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG02, 114, 179N, 1053E,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG03, 000, 207N, 1116E,  16, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG03, 006, 211N, 1111E,  15, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG03, 012, 219N, 1108E,  15, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG03, 018, 229N, 1108E,  15, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG03, 024, 238N, 1101E,  11, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG03, 030, 257N, 1098E,   8, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG03, 036, 272N, 1106E,   8, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG04, 000, 180N, 1122E,  13, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG04, 006, 182N, 1119E,  11, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG04, 012, 185N, 1113E,  12, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG04, 018, 187N, 1107E,  10, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG04, 024, 189N, 1098E,   9, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG04, 030, 192N, 1092E,  12, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG05, 000, 192N, 1127E,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG05, 006, 195N, 1124E,  23, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG05, 012, 199N, 1120E,  20, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG05, 018, 200N, 1116E,  19, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG05, 024, 203N, 1108E,  20, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG05, 030, 209N, 1100E,  19, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG05, 036, 211N, 1093E,  18, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 14, 2014090712, 03, NG05, 042, 213N, 1090E,  17, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
