EP, 75, 2018101312, 03, CP06, 000, 155N, 1005W,  14, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 000, 155N, 1010W,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 006, 158N, 1015W,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 012, 162N, 1025W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 018, 166N, 1031W,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 024, 168N, 1036W,  19, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 030, 167N, 1042W,  21, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 036, 166N, 1045W,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 042, 169N, 1041W,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 048, 172N, 1040W,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 054, 175N, 1040W,  25, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 060, 176N, 1038W,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 066, 177N, 1038W,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 072, 179N, 1039W,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 078, 180N, 1040W,  18, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP07, 084, 187N, 1046W,  15, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 000, 156N, 1007W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 006, 156N, 1009W,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 012, 159N, 1012W,  12, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 018, 159N, 1011W,  10, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 024, 160N, 1014W,  10, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 030, 158N, 1013W,  10, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 036, 159N, 1014W,  12, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 042, 160N, 1012W,  11, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 048, 160N, 1013W,  11, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 054, 160N, 1016W,  11, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 060, 166N, 1014W,  11, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 066, 165N, 1015W,  10, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 75, 2018101312, 03, CP08, 072, 157N, 1004W,  11, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
