WP, 04, 2022062918, 03, AC00, 192, 213N, 1065E,  18,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 000, 156N, 1153E,  32,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 006, 158N, 1150E,  37,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 012, 165N, 1154E,  43,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 018, 177N, 1152E,  41,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 024, 185N, 1143E,  38,  988, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 030, 190N, 1134E,  41,  987, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 036, 192N, 1125E,  44,  983, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 042, 194N, 1119E,  47,  980, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 048, 198N, 1111E,  51,  978, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 054, 201N, 1105E,  53,  977, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 060, 205N, 1100E,  52,  977, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 066, 209N, 1096E,  48,  978, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 072, 212N, 1091E,  46,  981, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 078, 215N, 1087E,  44,  982, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 084, 218N, 1084E,  39,  984, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 090, 220N, 1085E,  33,  987, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 096, 222N, 1082E,  31,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 102, 224N, 1081E,  27,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 108, 226N, 1081E,  26,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 114, 230N, 1088E,  23,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 120, 232N, 1088E,  23,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 126, 234N, 1089E,  24,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 132, 235N, 1089E,  23,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 138, 239N, 1096E,  20,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 144, 240N, 1096E,  20,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 150, 241N, 1097E,  21,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 156, 244N, 1099E,  21,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 162, 245N, 1101E,  18,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 168, 250N, 1099E,  15,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 174, 255N, 1098E,  16,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 180, 263N, 1102E,  15,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 186, 268N, 1107E,  14,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AEMN, 192, 276N, 1118E,  16,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 000, 157N, 1156E,  30,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 006, 158N, 1154E,  37,  995, XX,  34, NEQ, 0000, 0057, 0074, 0000
WP, 04, 2022062918, 03, AP01, 012, 167N, 1161E,  46,  993, XX,  34, NEQ, 0084, 0107, 0112, 0000
WP, 04, 2022062918, 03, AP01, 018, 181N, 1158E,  38,  992, XX,  34, NEQ, 0182, 0143, 0000, 0000
WP, 04, 2022062918, 03, AP01, 024, 186N, 1147E,  35,  992, XX,  34, NEQ, 0133, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 030, 189N, 1139E,  33,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 036, 193N, 1132E,  34,  990, XX,  34, NEQ, 0163, 0000, 0000, 0099
WP, 04, 2022062918, 03, AP01, 042, 196N, 1123E,  39,  987, XX,  34, NEQ, 0227, 0000, 0000, 0109
WP, 04, 2022062918, 03, AP01, 048, 196N, 1113E,  42,  984, XX,  34, NEQ, 0149, 0245, 0000, 0084
WP, 04, 2022062918, 03, AP01, 054, 198N, 1106E,  45,  980, XX,  34, NEQ, 0074, 0113, 0115, 0098
WP, 04, 2022062918, 03, AP01, 060, 200N, 1096E,  51,  975, XX,  34, NEQ, 0000, 0144, 0068, 0083
WP, 04, 2022062918, 03, AP01, 060, 200N, 1096E,  51,  975, XX,  50, NEQ, 0000, 0000, 0032, 0044
WP, 04, 2022062918, 03, AP01, 066, 202N, 1093E,  52,  978, XX,  34, NEQ, 0056, 0043, 0069, 0068
WP, 04, 2022062918, 03, AP01, 066, 202N, 1093E,  52,  978, XX,  50, NEQ, 0000, 0000, 0000, 0028
WP, 04, 2022062918, 03, AP01, 072, 206N, 1090E,  54,  974, XX,  34, NEQ, 0047, 0051, 0093, 0051
WP, 04, 2022062918, 03, AP01, 072, 206N, 1090E,  54,  974, XX,  50, NEQ, 0000, 0044, 0039, 0000
WP, 04, 2022062918, 03, AP01, 078, 210N, 1087E,  65,  970, XX,  34, NEQ, 0052, 0075, 0101, 0047
WP, 04, 2022062918, 03, AP01, 078, 210N, 1087E,  65,  970, XX,  50, NEQ, 0000, 0043, 0038, 0035
WP, 04, 2022062918, 03, AP01, 078, 210N, 1087E,  65,  970, XX,  64, NEQ, 0000, 0035, 0000, 0000
WP, 04, 2022062918, 03, AP01, 084, 214N, 1086E,  77,  972, XX,  34, NEQ, 0054, 0099, 0094, 0029
WP, 04, 2022062918, 03, AP01, 084, 214N, 1086E,  77,  972, XX,  50, NEQ, 0000, 0063, 0061, 0000
WP, 04, 2022062918, 03, AP01, 084, 214N, 1086E,  77,  972, XX,  64, NEQ, 0000, 0042, 0000, 0000
WP, 04, 2022062918, 03, AP01, 090, 219N, 1086E,  55,  977, XX,  34, NEQ, 0049, 0114, 0085, 0040
WP, 04, 2022062918, 03, AP01, 090, 219N, 1086E,  55,  977, XX,  50, NEQ, 0000, 0038, 0000, 0000
WP, 04, 2022062918, 03, AP01, 096, 222N, 1082E,  50,  981, XX,  34, NEQ, 0000, 0138, 0074, 0000
WP, 04, 2022062918, 03, AP01, 096, 222N, 1082E,  50,  981, XX,  50, NEQ, 0000, 0045, 0000, 0000
WP, 04, 2022062918, 03, AP01, 102, 224N, 1081E,  38,  982, XX,  34, NEQ, 0000, 0076, 0000, 0000
WP, 04, 2022062918, 03, AP01, 108, 227N, 1080E,  29,  985, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 114, 229N, 1082E,  29,  987, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 120, 232N, 1085E,  27,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 126, 235N, 1089E,  24,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 132, 236N, 1092E,  23,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 138, 238N, 1099E,  15,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 144, 240N, 1102E,  13,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 150, 243N, 1108E,  10,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 156, 243N, 1110E,  14,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 162, 242N, 1101E,   7,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 168, 238N, 1094E,   9,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 174, 233N, 1094E,  16, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 180, 232N, 1096E,  16,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 186, 231N, 1089E,  13, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP01, 192, 230N, 1077E,  12, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP02, 000, 155N, 1147E,  32,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP02, 006, 156N, 1147E,  39,  993, XX,  34, NEQ, 0000, 0104, 0078, 0000
WP, 04, 2022062918, 03, AP02, 012, 161N, 1150E,  42,  989, XX,  34, NEQ, 0044, 0101, 0100, 0000
WP, 04, 2022062918, 03, AP02, 018, 169N, 1150E,  40,  989, XX,  34, NEQ, 0060, 0063, 0000, 0000
WP, 04, 2022062918, 03, AP02, 024, 176N, 1142E,  41,  986, XX,  34, NEQ, 0096, 0056, 0040, 0000
WP, 04, 2022062918, 03, AP02, 030, 179N, 1132E,  41,  984, XX,  34, NEQ, 0143, 0074, 0063, 0094
WP, 04, 2022062918, 03, AP02, 036, 182N, 1124E,  53,  978, XX,  34, NEQ, 0137, 0097, 0078, 0139
WP, 04, 2022062918, 03, AP02, 036, 182N, 1124E,  53,  978, XX,  50, NEQ, 0000, 0038, 0000, 0000
WP, 04, 2022062918, 03, AP02, 042, 185N, 1115E,  52,  972, XX,  34, NEQ, 0151, 0080, 0081, 0151
WP, 04, 2022062918, 03, AP02, 042, 185N, 1115E,  52,  972, XX,  50, NEQ, 0046, 0045, 0000, 0000
WP, 04, 2022062918, 03, AP02, 048, 187N, 1102E,  53,  975, XX,  34, NEQ, 0049, 0147, 0114, 0000
WP, 04, 2022062918, 03, AP02, 048, 187N, 1102E,  53,  975, XX,  50, NEQ, 0000, 0032, 0000, 0000
WP, 04, 2022062918, 03, AP02, 054, 187N, 1093E,  59,  971, XX,  34, NEQ, 0100, 0109, 0109, 0111
WP, 04, 2022062918, 03, AP02, 054, 187N, 1093E,  59,  971, XX,  50, NEQ, 0000, 0054, 0000, 0000
WP, 04, 2022062918, 03, AP02, 060, 191N, 1088E,  52,  972, XX,  34, NEQ, 0093, 0131, 0130, 0119
WP, 04, 2022062918, 03, AP02, 060, 191N, 1088E,  52,  972, XX,  50, NEQ, 0000, 0000, 0044, 0055
WP, 04, 2022062918, 03, AP02, 066, 195N, 1084E,  59,  973, XX,  34, NEQ, 0111, 0099, 0105, 0095
WP, 04, 2022062918, 03, AP02, 066, 195N, 1084E,  59,  973, XX,  50, NEQ, 0047, 0031, 0000, 0000
WP, 04, 2022062918, 03, AP02, 072, 199N, 1077E,  66,  973, XX,  34, NEQ, 0080, 0116, 0115, 0067
WP, 04, 2022062918, 03, AP02, 072, 199N, 1077E,  66,  973, XX,  50, NEQ, 0052, 0065, 0000, 0039
WP, 04, 2022062918, 03, AP02, 072, 199N, 1077E,  66,  973, XX,  64, NEQ, 0041, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP02, 078, 202N, 1070E,  69,  970, XX,  34, NEQ, 0090, 0117, 0091, 0061
WP, 04, 2022062918, 03, AP02, 078, 202N, 1070E,  69,  970, XX,  50, NEQ, 0060, 0078, 0051, 0000
WP, 04, 2022062918, 03, AP02, 078, 202N, 1070E,  69,  970, XX,  64, NEQ, 0036, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP02, 084, 204N, 1063E,  64,  973, XX,  34, NEQ, 0095, 0103, 0060, 0043
WP, 04, 2022062918, 03, AP02, 084, 204N, 1063E,  64,  973, XX,  50, NEQ, 0040, 0058, 0000, 0000
WP, 04, 2022062918, 03, AP02, 084, 204N, 1063E,  64,  973, XX,  64, NEQ, 0000, 0026, 0000, 0000
WP, 04, 2022062918, 03, AP02, 090, 204N, 1057E,  33,  985, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP02, 096, 207N, 1050E,  27,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP02, 102, 210N, 1044E,  23,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2022062918, 03, AP02, 108, 215N, 1043E,  18,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
