IO, 91, 2023050906, 03, CTCX, 066, 143N,  890E,  83,  962, XX,  64, NEQ, 0018, 0025, 0032, 0000,    0,    0, 017
IO, 91, 2023050906, 03, CTCX, 072, 147N,  892E, 118,  946, XX,  34, NEQ, 0241, 0282, 0281, 0203,    0,    0, 021
IO, 91, 2023050906, 03, CTCX, 072, 147N,  892E, 118,  946, XX,  50, NEQ, 0194, 0085, 0087, 0114,    0,    0, 021
IO, 91, 2023050906, 03, CTCX, 072, 147N,  892E, 118,  946, XX,  64, NEQ, 0013, 0047, 0056, 0080,    0,    0, 021
IO, 91, 2023050906, 03, CTCX, 078, 156N,  898E, 112,  940, XX,  34, NEQ, 0208, 0247, 0265, 0166,    0,    0, 029
IO, 91, 2023050906, 03, CTCX, 078, 156N,  898E, 112,  940, XX,  50, NEQ, 0093, 0113, 0091, 0115,    0,    0, 029
IO, 91, 2023050906, 03, CTCX, 078, 156N,  898E, 112,  940, XX,  64, NEQ, 0017, 0058, 0078, 0036,    0,    0, 029
IO, 91, 2023050906, 03, CTCX, 084, 162N,  907E,  78,  958, XX,  34, NEQ, 0200, 0250, 0254, 0176,    0,    0, 018
IO, 91, 2023050906, 03, CTCX, 084, 162N,  907E,  78,  958, XX,  50, NEQ, 0083, 0090, 0123, 0084,    0,    0, 018
IO, 91, 2023050906, 03, CTCX, 084, 162N,  907E,  78,  958, XX,  64, NEQ, 0037, 0042, 0060, 0021,    0,    0, 018
IO, 91, 2023050906, 03, CTCX, 090, 168N,  914E,  95,  970, XX,  34, NEQ, 0193, 0239, 0255, 0190,    0,    0, 027
IO, 91, 2023050906, 03, CTCX, 090, 168N,  914E,  95,  970, XX,  50, NEQ, 0099, 0090, 0060, 0123,    0,    0, 027
IO, 91, 2023050906, 03, CTCX, 090, 168N,  914E,  95,  970, XX,  64, NEQ, 0000, 0053, 0045, 0000,    0,    0, 027
IO, 91, 2023050906, 03, CTCX, 096, 180N,  918E,  87,  973, XX,  34, NEQ, 0153, 0270, 0219, 0136,    0,    0, 041
IO, 91, 2023050906, 03, CTCX, 096, 180N,  918E,  87,  973, XX,  50, NEQ, 0122, 0123, 0098, 0091,    0,    0, 041
IO, 91, 2023050906, 03, CTCX, 096, 180N,  918E,  87,  973, XX,  64, NEQ, 0054, 0054, 0077, 0000,    0,    0, 041
IO, 91, 2023050906, 03, CTCX, 102, 192N,  924E,  81,  970, XX,  34, NEQ, 0079, 0230, 0191, 0148,    0,    0, 040
IO, 91, 2023050906, 03, CTCX, 102, 192N,  924E,  81,  970, XX,  50, NEQ, 0062, 0072, 0078, 0076,    0,    0, 040
