EP, 97, 2014080212, 03, NG01, 090, 149N, 1290W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 096, 151N, 1303W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 102, 156N, 1312W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 108, 161N, 1322W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 114, 167N, 1334W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 120, 173N, 1344W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 126, 180N, 1356W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 132, 182N, 1370W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 138, 184N, 1384W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 144, 189N, 1396W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 150, 192N, 1408W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 156, 198N, 1420W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 162, 201N, 1432W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 168, 207N, 1446W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 174, 210N, 1460W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 180, 215N, 1476W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 090, 139N, 1281W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 096, 142N, 1296W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 102, 143N, 1311W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 108, 149N, 1325W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 114, 151N, 1339W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 120, 156N, 1353W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 126, 161N, 1365W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 132, 166N, 1377W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 138, 169N, 1390W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 144, 177N, 1401W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 150, 183N, 1409W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 156, 192N, 1419W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 162, 201N, 1429W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 168, 211N, 1438W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 174, 222N, 1444W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG02, 180, 232N, 1450W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 090, 141N, 1271W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 096, 144N, 1284W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 102, 148N, 1299W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 108, 154N, 1312W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 114, 159N, 1330W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 120, 162N, 1346W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 126, 165N, 1363W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 132, 168N, 1380W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
