IO, 91, 2013111818, 03, GFDN,   0, 146N,  867E,  30, 1007
IO, 91, 2013111818, 03, GFDN,   6, 144N,  856E,  28, 1006
IO, 91, 2013111818, 03, GFDN,  12, 143N,  844E,  28, 1006
IO, 91, 2013111818, 03, GFDN,  18, 138N,  833E,  27, 1006
IO, 91, 2013111818, 03, GFDN,  24, 133N,  823E,  27, 1006
IO, 91, 2013111818, 03, GFDN,  30, 128N,  816E,  24, 1006
IO, 91, 2013111818, 03, GFDN,  36, 124N,  809E,  24, 1006
IO, 91, 2013111818, 03, GFDN,  42, 114N,  803E,  18, 1006
IO, 91, 2013111818, 03, GFDN,  48, 109N,  801E,  14, 1007
IO, 91, 2013111818, 03, GFDN,  54,  96N,  791E,  15, 1007
IO, 91, 2013111818, 03, NVGM, 000, 137N,  865E,  24, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111818, 03, NVGM, 006, 137N,  856E,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111818, 03, NVGM, 012, 136N,  845E,  27, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111818, 03, NVGM, 018, 135N,  836E,  28, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111818, 03, NVGM, 024, 132N,  826E,  28, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111818, 03, NVGM, 030, 129N,  819E,  26, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111818, 03, NVGM, 036, 125N,  812E,  25, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111818, 03, NVGM, 042, 122N,  806E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111818, 03, NVGM, 048, 117N,  799E,  17, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111818, 03, NVGM, 054, 113N,  794E,  16, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111818, 03, NVGM, 060, 109N,  790E,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111818, 03, NVGM, 066, 108N,  787E,  12, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, GFDN,   0, 148N,  861E,  31, 1006
IO, 91, 2013111900, 03, GFDN,   6, 144N,  851E,  29, 1006
IO, 91, 2013111900, 03, GFDN,  12, 141N,  838E,  30, 1007
IO, 91, 2013111900, 03, GFDN,  18, 135N,  827E,  28, 1007
IO, 91, 2013111900, 03, GFDN,  24, 129N,  817E,  26, 1006
IO, 91, 2013111900, 03, GFDN,  30, 124N,  812E,  23, 1006
IO, 91, 2013111900, 03, GFDN,  36, 114N,  804E,  21, 1006
IO, 91, 2013111900, 03, GFDN,  42, 110N,  802E,  14, 1007
IO, 91, 2013111900, 03, NG01, 000, 146N,  858E,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG01, 006, 147N,  850E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG02, 000, 145N,  852E,  17, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG02, 006, 142N,  837E,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG02, 012, 138N,  828E,  15, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG02, 018, 128N,  819E,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG02, 024, 113N,  815E,  14, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG03, 000, 140N,  871E,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG03, 006, 137N,  865E,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG03, 012, 131N,  866E,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG03, 018, 131N,  859E,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG03, 024, 130N,  850E,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG03, 030, 128N,  844E,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG03, 036, 127N,  839E,  19, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG03, 042, 128N,  831E,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG03, 048, 128N,  822E,  15, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 91, 2013111900, 03, NG03, 054, 127N,  816E,  15, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
