AL, 99, 2006090312, 03, NGPS,   0, 133N,  676W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2006090318, 03, NGPS,   0, 133N,  691W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2006090318, 03, NGPS,   6, 120N,  713W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2006100612, 01, CARQ, -24, 260N,  733W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 99, 2006100612, 01, CARQ, -18, 269N,  725W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 99, 2006100612, 01, CARQ, -12, 278N,  716W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,  38,  12, 
AL, 99, 2006100612, 01, CARQ,  -6, 288N,  708W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 99, 2006100612, 01, CARQ,   0, 296N,  700W,  20, 1012, LO,  34, NEQ,    0,    0,    0,    0, 1015,  350,   0,   0,   0,   L,   0,   X,  40,  12,     INVEST, M, 
AL, 99, 2006100612, 01, CARQ,   0, 296N,  700W,  20, 1012, LO,  50, NEQ,    0,    0,    0,    0, 1015,  350,   0,   0,   0,   L,   0,   X,  40,  12,     INVEST, M, 
AL, 99, 2006100612, 01, CARQ,   0, 296N,  700W,  20, 1012, LO,  64, NEQ,    0,    0,    0,    0, 1015,  350,   0,   0,   0,   L,   0,   X,  40,  12,     INVEST, M, 
AL, 99, 2006100612, 03,  CMC,   0, 303N,  706W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2006100612, 03,  CMC,   6, 305N,  696W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2006100612, 03,  CMC,  12, 321N,  682W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2006100612, 03,  CMC,  18, 338N,  664W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2006100612, 03,  CMC,  24, 356N,  643W,  32, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2006100612, 03,  CMC,  30, 364N,  634W,  36, 1010, XX,  34, NEQ,  115,    0,    0,  126, 
AL, 99, 2006100612, 03,  CMC,  36, 369N,  623W,  35, 1011, XX,  34, NEQ,    0,    0,    0,  117, 
AL, 99, 2006100612, 03,  CMC,  42, 370N,  616W,  32, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
