EP, 95, 2021062300, 01, CARQ, -24,  81N,  843W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 95, 2021062300, 01, CARQ, -18,  86N,  865W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 95, 2021062300, 01, CARQ, -12,  91N,  886W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 284,  21,     INVEST,  , 
EP, 95, 2021062300, 01, CARQ,  -6,  96N,  907W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 95, 2021062300, 01, CARQ,   0, 100N,  928W,  20, 1010, DB,  34, NEQ,    0,    0,    0,    0, 1011,  150, 120,   0,   0,   E,   0,   X, 280,  21,     INVEST, S, 
EP, 95, 2021062300, 01, CARQ,   0, 100N,  928W,  20, 1010, DB,  50, NEQ,    0,    0,    0,    0, 1011,  150, 120,   0,   0,   E,   0,   X, 280,  21,     INVEST, S, 
EP, 95, 2021062300, 01, CARQ,   0, 100N,  928W,  20, 1010, DB,  64, NEQ,    0,    0,    0,    0, 1011,  150, 120,   0,   0,   E,   0,   X, 280,  21,     INVEST, S, 
EP, 95, 2021062300, 03, CTCX, 000, 105N,  923W,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
EP, 95, 2021062306, 01, CARQ, -24,  86N,  865W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 95, 2021062306, 01, CARQ, -18,  91N,  886W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 95, 2021062306, 01, CARQ, -12,  96N,  907W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 283,  21,     INVEST,  , 
EP, 95, 2021062306, 01, CARQ,  -6, 100N,  928W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 95, 2021062306, 01, CARQ,   0, 104N,  949W,  20, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1011,  150, 120,   0,   0,   E,   0,   X, 280,  21,     INVEST, S, 
EP, 95, 2021062306, 01, CARQ,   0, 104N,  949W,  20, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1011,  150, 120,   0,   0,   E,   0,   X, 280,  21,     INVEST, S, 
EP, 95, 2021062306, 01, CARQ,   0, 104N,  949W,  20, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1011,  150, 120,   0,   0,   E,   0,   X, 280,  21,     INVEST, S, 
EP, 95, 2021062306, 03, CTCX, 000,  99N,  940W,  14, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 107
EP, 95, 2021062306, 03, CTCX, 006,  97N,  964W,  24, 1011, XX,  34, NEQ, 0325, 0000, 0000, 0000,    0,    0, 107
EP, 95, 2021062306, 03, CTCX, 012, 100N,  959W,  27, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0244,    0,    0, 046
EP, 95, 2021062306, 03, CTCX, 018, 102N,  969W,  29, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 056
EP, 95, 2021062306, 03, CTCX, 024, 103N,  971W,  25, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 053
EP, 95, 2021062306, 03, CTCX, 030, 112N,  976W,  29, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0212,    0,    0, 060
EP, 95, 2021062306, 03, CTCX, 036, 125N,  997W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, ***
EP, 95, 2021062306, 03, CTCX, 042, 126N, 1003W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, ***
EP, 95, 2021062312, 01, CARQ, -24,  91N,  886W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 95, 2021062312, 01, CARQ, -18,  96N,  907W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 95, 2021062312, 01, CARQ, -12, 104N,  927W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 294,  18,     INVEST,  , 
EP, 95, 2021062312, 01, CARQ,  -6, 111N,  941W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 95, 2021062312, 01, CARQ,   0, 118N,  950W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  150, 120,   0,   0,   E,   0,   X, 300,  16,     INVEST, S, 
EP, 95, 2021062312, 01, CARQ,   0, 118N,  950W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  150, 120,   0,   0,   E,   0,   X, 300,  16,     INVEST, S, 
EP, 95, 2021062312, 01, CARQ,   0, 118N,  950W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  150, 120,   0,   0,   E,   0,   X, 300,  16,     INVEST, S, 
EP, 95, 2021062312, 03, CTCX, 000, 123N,  951W,  14, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 107
EP, 95, 2021062312, 03, CTCX, 006, 126N,  960W,  22, 1013, XX,  34, NEQ, 0155, 0000, 0000, 0000,    0,    0, 082
EP, 95, 2021062312, 03, HWRF, 000, 125N,  949W,  14, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99,  78,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      18,    -219,     256, N, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 003, 129N,  955W,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 162,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      58,     -83,      62, N, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 006, 128N,  960W,  20, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 161,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      70,    -452,    -733, N, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 009, 128N,  959W,  25, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 119,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -75,    -641,   -1161, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 012, 123N,  963W,  26, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 139,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      34,    -411,    -982, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 015, 122N,  965W,  27, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99,  59,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      10,    -302,   -1222, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 018, 123N,  958W,  29, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99,  52,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -17,      55,   -1313, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 021, 126N,  968W,  27, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99,  44,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      -2,    -157,   -1414, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 024, 125N,  973W,  29, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 126,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      10,    -154,   -1227, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 027, 128N,  977W,  30, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99,  45,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      25,    -249,   -1169, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 030, 131N,  985W,  32, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99,  18,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      32,    -611,    -879, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 033, 131N,  993W,  34, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0125,  -99,  -99, 125,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      33,    -107,    -926, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 036, 132N,  999W,  34, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0160, 1009,  117, 159,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      20,    -312,   -1221, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 039, 132N, 1004W,  30, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000, 1010,   86, 102,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      13,    -595,    -879, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 042, 131N, 1006W,  36, 1005, XX,  34, NEQ, 0064, 0000, 0000, 0117, 1009,   20,  63,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      21,     -48,    -950, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 045, 130N, 1010W,  41, 1003, XX,  34, NEQ, 0094, 0000, 0022, 0115, 1007,   37,  80,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      -9,     128,    -923, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 048, 132N, 1014W,  40, 1002, XX,  34, NEQ, 0084, 0214, 0000, 0119,  -99,  -99,  49,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -45,      42,    -951, Y, 10, DT, -999
EP, 95, 2021062312, 03, HWRF, 051, 131N, 1019W,  48, 1001, XX,  34, NEQ, 0073, 0079, 0000, 0071, 1005,   17,  14,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      -8,     105,    -876, Y, 10, DT, -999
