EP, 95, 2022070718, 03, AP02, 018,  91N, 1037W,  12, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP02, 024,  91N, 1056W,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP03, 000,  93N,  989W,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP03, 006,  93N, 1005W,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP03, 012,  99N, 1018W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP03, 018, 104N, 1039W,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP03, 024, 104N, 1050W,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP04, 000,  98N,  992W,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP04, 006,  99N, 1008W,  19, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 000,  87N, 1005W,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 006,  83N, 1016W,  17, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 012,  85N, 1030W,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 018,  90N, 1044W,  23, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 024,  95N, 1054W,  24, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 030,  99N, 1075W,  30, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 036, 108N, 1085W,  34, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 042, 120N, 1102W,  35, 1010, XX,  34, NEQ, 0068, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 048, 123N, 1116W,  40, 1011, XX,  34, NEQ, 0088, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 054, 132N, 1130W,  38, 1008, XX,  34, NEQ, 0079, 0062, 0000, 0000
EP, 95, 2022070718, 03, AP05, 060, 133N, 1150W,  33, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 066, 129N, 1165W,  31, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 072, 126N, 1173W,  39, 1004, XX,  34, NEQ, 0052, 0049, 0000, 0000
EP, 95, 2022070718, 03, AP05, 078, 130N, 1181W,  43,  998, XX,  34, NEQ, 0064, 0072, 0000, 0045
EP, 95, 2022070718, 03, AP05, 084, 133N, 1192W,  52,  997, XX,  34, NEQ, 0080, 0077, 0081, 0074
EP, 95, 2022070718, 03, AP05, 084, 133N, 1192W,  52,  997, XX,  50, NEQ, 0049, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 090, 135N, 1203W,  61,  990, XX,  34, NEQ, 0086, 0090, 0066, 0079
EP, 95, 2022070718, 03, AP05, 090, 135N, 1203W,  61,  990, XX,  50, NEQ, 0059, 0057, 0000, 0036
EP, 95, 2022070718, 03, AP05, 096, 138N, 1215W,  56,  992, XX,  34, NEQ, 0099, 0096, 0052, 0080
EP, 95, 2022070718, 03, AP05, 096, 138N, 1215W,  56,  992, XX,  50, NEQ, 0072, 0036, 0000, 0000
EP, 95, 2022070718, 03, AP05, 102, 142N, 1227W,  62,  987, XX,  34, NEQ, 0102, 0098, 0073, 0091
EP, 95, 2022070718, 03, AP05, 102, 142N, 1227W,  62,  987, XX,  50, NEQ, 0066, 0040, 0000, 0000
EP, 95, 2022070718, 03, AP05, 108, 146N, 1237W,  64,  985, XX,  34, NEQ, 0101, 0097, 0057, 0091
EP, 95, 2022070718, 03, AP05, 108, 146N, 1237W,  64,  985, XX,  50, NEQ, 0059, 0051, 0000, 0043
EP, 95, 2022070718, 03, AP05, 108, 146N, 1237W,  64,  985, XX,  64, NEQ, 0046, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 114, 151N, 1248W,  64,  987, XX,  34, NEQ, 0113, 0088, 0054, 0093
EP, 95, 2022070718, 03, AP05, 114, 151N, 1248W,  64,  987, XX,  50, NEQ, 0072, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 114, 151N, 1248W,  64,  987, XX,  64, NEQ, 0031, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 120, 156N, 1260W,  60,  987, XX,  34, NEQ, 0104, 0091, 0060, 0093
EP, 95, 2022070718, 03, AP05, 120, 156N, 1260W,  60,  987, XX,  50, NEQ, 0065, 0000, 0000, 0047
EP, 95, 2022070718, 03, AP05, 126, 162N, 1274W,  59,  987, XX,  34, NEQ, 0113, 0079, 0053, 0092
EP, 95, 2022070718, 03, AP05, 126, 162N, 1274W,  59,  987, XX,  50, NEQ, 0059, 0000, 0000, 0056
EP, 95, 2022070718, 03, AP05, 132, 165N, 1285W,  53,  991, XX,  34, NEQ, 0127, 0060, 0061, 0121
EP, 95, 2022070718, 03, AP05, 132, 165N, 1285W,  53,  991, XX,  50, NEQ, 0051, 0000, 0000, 0041
EP, 95, 2022070718, 03, AP05, 138, 173N, 1296W,  51,  994, XX,  34, NEQ, 0117, 0068, 0058, 0091
EP, 95, 2022070718, 03, AP05, 138, 173N, 1296W,  51,  994, XX,  50, NEQ, 0046, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 144, 179N, 1306W,  49,  997, XX,  34, NEQ, 0112, 0051, 0000, 0101
EP, 95, 2022070718, 03, AP05, 150, 187N, 1318W,  45,  998, XX,  34, NEQ, 0091, 0054, 0045, 0112
EP, 95, 2022070718, 03, AP05, 156, 193N, 1327W,  45, 1003, XX,  34, NEQ, 0097, 0000, 0000, 0072
EP, 95, 2022070718, 03, AP05, 162, 200N, 1338W,  40, 1003, XX,  34, NEQ, 0100, 0000, 0000, 0091
EP, 95, 2022070718, 03, AP05, 168, 204N, 1347W,  38, 1006, XX,  34, NEQ, 0082, 0000, 0000, 0070
EP, 95, 2022070718, 03, AP05, 174, 207N, 1357W,  33, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 180, 207N, 1366W,  36, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0059
EP, 95, 2022070718, 03, AP05, 186, 208N, 1378W,  27, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP05, 192, 209N, 1387W,  27, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP06, 000,  92N,  987W,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP06, 006,  99N,  994W,  18, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP06, 012, 108N, 1008W,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP06, 018, 119N, 1033W,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP06, 024, 125N, 1055W,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP06, 030, 125N, 1069W,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP06, 036, 125N, 1083W,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP06, 042, 126N, 1101W,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP06, 048, 130N, 1113W,  23, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 95, 2022070718, 03, AP06, 054, 134N, 1128W,  24, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
