AL, 93, 2023061912, 03, AC00, 000,  96N,  265W,  16, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 006,  95N,  283W,  16, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 012,  95N,  292W,  19, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 018,  92N,  303W,  25, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 024, 100N,  314W,  35, 1011, XX,  34, NEQ, 0060, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 030, 107N,  324W,  28, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 036, 110N,  335W,  26, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 042, 111N,  348W,  30, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 048, 111N,  361W,  31, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 054, 111N,  373W,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 060, 110N,  385W,  30, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 066, 109N,  397W,  35, 1004, XX,  34, NEQ, 0041, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 072, 110N,  410W,  41, 1005, XX,  34, NEQ, 0047, 0000, 0000, 0037
AL, 93, 2023061912, 03, AC00, 078, 111N,  425W,  37, 1004, XX,  34, NEQ, 0045, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 084, 112N,  438W,  42, 1006, XX,  34, NEQ, 0037, 0000, 0000, 0051
AL, 93, 2023061912, 03, AC00, 090, 113N,  452W,  40,  998, XX,  34, NEQ, 0048, 0000, 0000, 0046
AL, 93, 2023061912, 03, AC00, 096, 115N,  465W,  41, 1004, XX,  34, NEQ, 0049, 0000, 0000, 0041
AL, 93, 2023061912, 03, AC00, 102, 121N,  478W,  45, 1003, XX,  34, NEQ, 0046, 0000, 0000, 0039
AL, 93, 2023061912, 03, AC00, 108, 126N,  489W,  49, 1003, XX,  34, NEQ, 0057, 0028, 0000, 0056
AL, 93, 2023061912, 03, AC00, 114, 133N,  503W,  41, 1005, XX,  34, NEQ, 0070, 0000, 0000, 0046
AL, 93, 2023061912, 03, AC00, 120, 139N,  519W,  45, 1007, XX,  34, NEQ, 0069, 0000, 0000, 0035
AL, 93, 2023061912, 03, AC00, 126, 149N,  534W,  35, 1008, XX,  34, NEQ, 0036, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 132, 158N,  547W,  33, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 138, 168N,  560W,  37, 1008, XX,  34, NEQ, 0054, 0000, 0000, 0046
AL, 93, 2023061912, 03, AC00, 144, 172N,  570W,  32, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 150, 181N,  580W,  32, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 156, 191N,  590W,  31, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 162, 197N,  606W,  28, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 168, 201N,  623W,  25, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 174, 208N,  639W,  21, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 180, 214N,  651W,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 186, 221N,  661W,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AC00, 192, 230N,  671W,  20, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 000,  89N,  277W,  19, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 006,  93N,  284W,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 012,  94N,  293W,  22, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 018,  96N,  303W,  28, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 024, 101N,  313W,  28, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 030, 106N,  323W,  27, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 036, 109N,  333W,  27, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 042, 110N,  344W,  29, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 048, 111N,  356W,  31, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 054, 112N,  368W,  31, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 060, 111N,  380W,  33, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 066, 112N,  392W,  35, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 072, 113N,  405W,  36, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 078, 116N,  418W,  36, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 084, 119N,  431W,  36, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 090, 123N,  445W,  36, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 096, 128N,  460W,  36, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 102, 135N,  474W,  34, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2023061912, 03, AEMN, 108, 142N,  487W,  34, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
