AL, 90, 2014090618, 03, NVGM, 000, 143N,  308W,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090618, 03, NVGM, 006, 141N,  320W,  23, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090618, 03, NVGM, 012, 142N,  334W,  24, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090618, 03, NVGM, 018, 146N,  346W,  24, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090618, 03, NVGM, 024, 145N,  357W,  25, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090618, 03, NVGM, 030, 143N,  371W,  25, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090618, 03, NVGM, 036, 139N,  384W,  23, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090618, 03, NVGM, 042, 134N,  398W,  21, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG01, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG02, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG03, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG04, 000, 150N,  322W,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG04, 006, 153N,  332W,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG04, 012, 155N,  343W,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG04, 018, 158N,  355W,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG04, 024, 160N,  368W,  17, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG04, 030, 162N,  379W,  17, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG05, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG06, 000, 154N,  321W,  15, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG06, 006, 165N,  334W,  13, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG06, 012, 178N,  348W,  18, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG07, 000, 151N,  328W,  16, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG07, 006, 141N,  338W,  14, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG07, 012, 138N,  340W,  15, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG08, 000, 145N,  326W,  19, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG08, 006, 135N,  329W,  18, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 000, 146N,  342W,  24, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 006, 139N,  356W,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 012, 139N,  370W,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 018, 139N,  382W,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 024, 141N,  395W,  18, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 030, 143N,  409W,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 036, 149N,  425W,  20, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 042, 149N,  439W,  19, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 048, 150N,  454W,  21, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 054, 150N,  469W,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 060, 155N,  484W,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 066, 159N,  498W,  18, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG09, 072, 161N,  515W,  19, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG10, 000, 153N,  314W,  22, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG10, 006, 146N,  314W,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG10, 012, 137N,  319W,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG10, 018, 133N,  328W,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG10, 024, 130N,  340W,  16, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG10, 030, 130N,  354W,  16, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG11, 000, 157N,  327W,  19, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG12, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 90, 2014090700, 03, NG13, 000, 155N,  316W,  18, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
