IO, 01, 2020051606, 03, NVGM, 108, 271N,  952E,   7, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 011
IO, 01, 2020051612, 03, COTC, 000, 102N,  860E,  43,  993, XX,  34, NEQ, 0088, 0151, 0130, 0082,    0,    0, 108
IO, 01, 2020051612, 03, COTC, 006, 108N,  866E,  70,  989, XX,  34, NEQ, 0195, 0235, 0137, 0122,    0,    0, 048
IO, 01, 2020051612, 03, COTC, 006, 108N,  866E,  70,  989, XX,  50, NEQ, 0109, 0061, 0053, 0080,    0,    0, 048
IO, 01, 2020051612, 03, COTC, 006, 108N,  866E,  70,  989, XX,  64, NEQ, 0051, 0051, 0000, 0000,    0,    0, 048
IO, 01, 2020051612, 03, COTC, 012, 112N,  863E,  69,  985, XX,  34, NEQ, 0158, 0252, 0155, 0169,    0,    0, 045
IO, 01, 2020051612, 03, COTC, 012, 112N,  863E,  69,  985, XX,  50, NEQ, 0082, 0000, 0048, 0091,    0,    0, 045
IO, 01, 2020051612, 03, COTC, 012, 112N,  863E,  69,  985, XX,  64, NEQ, 0000, 0000, 0000, 0050,    0,    0, 045
IO, 01, 2020051612, 03, COTC, 018, 115N,  864E,  70,  978, XX,  34, NEQ, 0250, 0239, 0167, 0193,    0,    0, 033
IO, 01, 2020051612, 03, COTC, 018, 115N,  864E,  70,  978, XX,  50, NEQ, 0073, 0071, 0073, 0074,    0,    0, 033
IO, 01, 2020051612, 03, COTC, 018, 115N,  864E,  70,  978, XX,  64, NEQ, 0000, 0000, 0037, 0035,    0,    0, 033
IO, 01, 2020051612, 03, COTC, 024, 121N,  868E,  69,  972, XX,  34, NEQ, 0274, 0242, 0211, 0215,    0,    0, 031
IO, 01, 2020051612, 03, COTC, 024, 121N,  868E,  69,  972, XX,  50, NEQ, 0058, 0065, 0173, 0088,    0,    0, 031
IO, 01, 2020051612, 03, COTC, 024, 121N,  868E,  69,  972, XX,  64, NEQ, 0036, 0041, 0000, 0000,    0,    0, 031
IO, 01, 2020051612, 03, COTC, 030, 130N,  870E,  66,  970, XX,  34, NEQ, 0204, 0255, 0227, 0230,    0,    0, 027
IO, 01, 2020051612, 03, COTC, 030, 130N,  870E,  66,  970, XX,  50, NEQ, 0133, 0141, 0044, 0113,    0,    0, 027
IO, 01, 2020051612, 03, COTC, 030, 130N,  870E,  66,  970, XX,  64, NEQ, 0000, 0030, 0028, 0033,    0,    0, 027
IO, 01, 2020051612, 03, COTC, 036, 135N,  869E,  65,  967, XX,  34, NEQ, 0236, 0310, 0237, 0205,    0,    0, 053
IO, 01, 2020051612, 03, COTC, 036, 135N,  869E,  65,  967, XX,  50, NEQ, 0180, 0068, 0081, 0116,    0,    0, 053
IO, 01, 2020051612, 03, COTC, 036, 135N,  869E,  65,  967, XX,  64, NEQ, 0040, 0030, 0000, 0054,    0,    0, 053
IO, 01, 2020051612, 03, COTC, 042, 138N,  871E,  73,  961, XX,  34, NEQ, 0265, 0274, 0239, 0234,    0,    0, 036
IO, 01, 2020051612, 03, COTC, 042, 138N,  871E,  73,  961, XX,  50, NEQ, 0104, 0172, 0104, 0147,    0,    0, 036
IO, 01, 2020051612, 03, COTC, 042, 138N,  871E,  73,  961, XX,  64, NEQ, 0042, 0050, 0084, 0040,    0,    0, 036
IO, 01, 2020051612, 03, COTC, 048, 147N,  874E,  75,  955, XX,  34, NEQ, 0269, 0286, 0220, 0208,    0,    0, 035
IO, 01, 2020051612, 03, COTC, 048, 147N,  874E,  75,  955, XX,  50, NEQ, 0105, 0128, 0093, 0162,    0,    0, 035
IO, 01, 2020051612, 03, COTC, 048, 147N,  874E,  75,  955, XX,  64, NEQ, 0033, 0052, 0053, 0046,    0,    0, 035
IO, 01, 2020051612, 03, COTC, 054, 157N,  878E,  87,  950, XX,  34, NEQ, 0272, 0273, 0244, 0220,    0,    0, 025
IO, 01, 2020051612, 03, COTC, 054, 157N,  878E,  87,  950, XX,  50, NEQ, 0127, 0143, 0109, 0120,    0,    0, 025
IO, 01, 2020051612, 03, COTC, 054, 157N,  878E,  87,  950, XX,  64, NEQ, 0060, 0049, 0034, 0043,    0,    0, 025
IO, 01, 2020051612, 03, COTC, 060, 164N,  882E, 104,  940, XX,  34, NEQ, 0299, 0284, 0236, 0248,    0,    0, 018
IO, 01, 2020051612, 03, COTC, 060, 164N,  882E, 104,  940, XX,  50, NEQ, 0175, 0207, 0123, 0175,    0,    0, 018
IO, 01, 2020051612, 03, COTC, 060, 164N,  882E, 104,  940, XX,  64, NEQ, 0065, 0063, 0078, 0103,    0,    0, 018
IO, 01, 2020051612, 03, COTC, 066, 175N,  887E, 110,  935, XX,  34, NEQ, 0269, 0270, 0239, 0242,    0,    0, 021
IO, 01, 2020051612, 03, COTC, 066, 175N,  887E, 110,  935, XX,  50, NEQ, 0237, 0168, 0136, 0157,    0,    0, 021
IO, 01, 2020051612, 03, COTC, 066, 175N,  887E, 110,  935, XX,  64, NEQ, 0078, 0114, 0107, 0046,    0,    0, 021
IO, 01, 2020051612, 03, COTC, 072, 190N,  893E, 121,  926, XX,  34, NEQ, 0253, 0293, 0282, 0193,    0,    0, 024
IO, 01, 2020051612, 03, COTC, 072, 190N,  893E, 121,  926, XX,  50, NEQ, 0161, 0167, 0223, 0166,    0,    0, 024
IO, 01, 2020051612, 03, COTC, 072, 190N,  893E, 121,  926, XX,  64, NEQ, 0078, 0092, 0060, 0044,    0,    0, 024
IO, 01, 2020051612, 03, COTC, 078, 203N,  897E, 117,  918, XX,  34, NEQ, 0170, 0298, 0197, 0159,    0,    0, 021
IO, 01, 2020051612, 03, COTC, 078, 203N,  897E, 117,  918, XX,  50, NEQ, 0135, 0130, 0116, 0118,    0,    0, 021
IO, 01, 2020051612, 03, COTC, 078, 203N,  897E, 117,  918, XX,  64, NEQ, 0086, 0075, 0077, 0081,    0,    0, 021
IO, 01, 2020051612, 03, COTC, 084, 218N,  905E, 126,  915, XX,  34, NEQ, 0084, 0249, 0216, 0138,    0,    0, 015
IO, 01, 2020051612, 03, COTC, 084, 218N,  905E, 126,  915, XX,  50, NEQ, 0077, 0123, 0110, 0057,    0,    0, 015
IO, 01, 2020051612, 03, COTC, 084, 218N,  905E, 126,  915, XX,  64, NEQ, 0069, 0080, 0060, 0043,    0,    0, 015
IO, 01, 2020051612, 03, COTC, 090, 238N,  910E,  59,  942, XX,  34, NEQ, 0114, 0208, 0168, 0065,    0,    0, 021
IO, 01, 2020051612, 03, COTC, 090, 238N,  910E,  59,  942, XX,  50, NEQ, 0040, 0098, 0000, 0000,    0,    0, 021
IO, 01, 2020051612, 03, COTC, 096, 256N,  919E,  39,  979, XX,  34, NEQ, 0086, 0000, 0000, 0000,    0,    0, 077
IO, 01, 2020051612, 03, COTC, 102, 270N,  934E,  26,  993, XX,  34, NEQ, 0252, 0000, 0000, 0000,    0,    0, 101
