AL, 95, 2014081600, 03, COTC, 000, 142N,  196W,  18, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 107
AL, 95, 2014081600, 03, COTC, 006, 146N,  199W,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 050
AL, 95, 2014081600, 03, COTC, 012, 148N,  200W,  25, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 060
AL, 95, 2014081600, 03, COTC, 018, 149N,  207W,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 044
AL, 95, 2014081600, 03, COTC, 024, 145N,  203W,  21, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 056
AL, 95, 2014081600, 03, COTC, 030, 145N,  196W,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 083
AL, 95, 2014081600, 03, COTC, 036, 139N,  200W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 107
AL, 95, 2014081600, 03, COTC, 042, 135N,  214W,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 107
AL, 95, 2014081600, 03, GFDN,   0, 148N,  196W,  28, 1009
AL, 95, 2014081600, 03, GFDN,   6, 149N,  198W,  28, 1007
AL, 95, 2014081600, 03, GFDN,  12, 148N,  204W,  32, 1008
AL, 95, 2014081600, 03, GFDN,  18, 146N,  207W,  36, 1006
AL, 95, 2014081600, 03, GFDN,  24, 144N,  211W,  24, 1008
AL, 95, 2014081600, 03, GFDN,  30, 143N,  216W,  19, 1008
AL, 95, 2014081600, 03, GFDN,  36, 141N,  223W,  25, 1008
AL, 95, 2014081600, 03, GFDN,  42, 137N,  232W,  32, 1006
AL, 95, 2014081600, 03, GFDN,  48, 137N,  242W,  22, 1008
AL, 95, 2014081600, 03, GFDN,  54, 134N,  253W,  21, 1008
AL, 95, 2014081600, 03, GFDN,  60, 135N,  265W,  29, 1009
AL, 95, 2014081600, 03, GFDN,  66, 134N,  271W,  20, 1007
AL, 95, 2014081600, 03, GFDN,  72, 133N,  284W,  22, 1009
AL, 95, 2014081600, 03, NG01, 000, 146N,  195W,  22, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 95, 2014081600, 03, NG01, 006, 144N,  198W,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
