EP, 09, 2014080100, 03, COTC, 078, 172N, 1350W,  44,  995, XX,  34, NEQ, 0056, 0050, 0034, 0056,    0,    0, 032
EP, 09, 2014080100, 03, COTC, 084, 176N, 1357W,  41,  997, XX,  34, NEQ, 0052, 0050, 0043, 0040,    0,    0, 022
EP, 09, 2014080100, 03, COTC, 090, 179N, 1362W,  53,  995, XX,  34, NEQ, 0057, 0057, 0032, 0048,    0,    0, 017
EP, 09, 2014080100, 03, COTC, 090, 179N, 1362W,  53,  995, XX,  50, NEQ, 0024, 0000, 0000, 0018,    0,    0, 017
EP, 09, 2014080100, 03, COTC, 096, 182N, 1366W,  53,  995, XX,  34, NEQ, 0059, 0044, 0030, 0042,    0,    0, 017
EP, 09, 2014080100, 03, COTC, 096, 182N, 1366W,  53,  995, XX,  50, NEQ, 0021, 0000, 0000, 0000,    0,    0, 017
EP, 09, 2014080100, 03, COTC, 102, 184N, 1369W,  52,  999, XX,  34, NEQ, 0070, 0048, 0000, 0063,    0,    0, 019
EP, 09, 2014080100, 03, COTC, 102, 184N, 1369W,  52,  999, XX,  50, NEQ, 0023, 0000, 0000, 0000,    0,    0, 019
EP, 09, 2014080100, 03, COTC, 108, 187N, 1378W,  48, 1002, XX,  34, NEQ, 0077, 0031, 0040, 0054,    0,    0, 030
EP, 09, 2014080100, 03, COTC, 114, 187N, 1387W,  43, 1005, XX,  34, NEQ, 0091, 0000, 0000, 0077,    0,    0, 078
EP, 09, 2014080100, 03, COTC, 120, 187N, 1398W,  40, 1007, XX,  34, NEQ, 0107, 0000, 0000, 0069,    0,    0, 094
EP, 09, 2014080100, 03, GFDN,  90, 176N, 1355W,  57,  983
EP, 09, 2014080100, 03, GFDN,  96, 179N, 1356W,  63,  983
EP, 09, 2014080100, 03, GFDN, 102, 182N, 1357W,  67,  982
EP, 09, 2014080100, 03, GFDN, 108, 182N, 1360W,  61,  984
EP, 09, 2014080100, 03, GFDN, 114, 183N, 1361W,  61,  986
EP, 09, 2014080100, 03, GFDN, 120, 184N, 1363W,  60,  987
EP, 09, 2014080100, 03, GFDN, 126, 186N, 1368W,  57,  990
EP, 09, 2014080100, 03, NG01, 090, 188N, 1385W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 096, 188N, 1392W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 102, 189N, 1400W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 108, 188N, 1409W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 114, 188N, 1420W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 120, 188N, 1430W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 126, 186N, 1443W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 132, 183N, 1455W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 138, 186N, 1469W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 144, 186N, 1481W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 150, 188N, 1494W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 156, 194N, 1504W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 162, 198N, 1515W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 168, 206N, 1526W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 174, 209N, 1532W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG01, 180, 212N, 1541W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 09, 2014080100, 03, NG02, 090, 184N, 1382W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
