AL, 93, 2014073012, 03, GFDN,  90, 195N,  638W,  84,  981
AL, 93, 2014073012, 03, GFDN,  96, 204N,  652W,  80,  981
AL, 93, 2014073012, 03, NG06, 168, 223N,  808W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 174, 234N,  810W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 180, 243N,  815W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 090, 189N,  607W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 096, 191N,  618W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 102, 193N,  628W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 108, 194N,  639W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 114, 194N,  654W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 120, 194N,  669W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 126, 197N,  684W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 132, 197N,  698W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 138, 199N,  715W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 144, 200N,  730W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 150, 202N,  745W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 156, 205N,  759W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 162, 208N,  774W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 168, 211N,  790W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 174, 217N,  802W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG10, 180, 219N,  814W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG17, 090, 173N,  596W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 090, 189N,  650W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 096, 198N,  660W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 102, 208N,  669W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 108, 215N,  678W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 114, 222N,  689W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 120, 233N,  698W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 126, 245N,  706W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 132, 255N,  710W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 138, 263N,  715W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 144, 274N,  712W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 150, 285N,  705W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 156, 293N,  695W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 162, 303N,  684W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 168, 311N,  668W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 174, 320N,  652W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG18, 180, 329N,  637W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 090, 195N,  640W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 096, 200N,  652W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 102, 205N,  665W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 108, 208N,  678W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 114, 211N,  690W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 120, 215N,  705W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 126, 219N,  718W,   0, 1017, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 132, 222N,  730W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
