IO, 91, 2020051418, 03, NVGM, 114, 214N,  885E, 126,  940, XX,  64, NEQ, 0103, 0094, 0040, 0065,    0,    0, 026
IO, 91, 2020051418, 03, NVGM, 120, 225N,  886E,  66,  952, XX,  34, NEQ, 0080, 0259, 0200, 0060,    0,    0, 033
IO, 91, 2020051418, 03, NVGM, 120, 225N,  886E,  66,  952, XX,  50, NEQ, 0045, 0143, 0117, 0052,    0,    0, 033
IO, 91, 2020051418, 03, NVGM, 120, 225N,  886E,  66,  952, XX,  64, NEQ, 0000, 0084, 0065, 0000,    0,    0, 033
IO, 91, 2020051418, 03, NVGM, 126, 238N,  888E,  49,  965, XX,  34, NEQ, 0045, 0239, 0169, 0000,    0,    0, 143
IO, 91, 2020051418, 03, NVGM, 132, 247N,  892E,  25,  980, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 039
IO, 91, 2020051418, 03, NVGM, 138, 254N,  898E,  20,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 042
IO, 91, 2020051418, 03, NVGM, 144, 259N,  905E,  14,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 066
IO, 91, 2020051418, 03, NVGM, 150, 267N,  921E,   7, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 066
IO, 91, 2020051418, 03, NVGM, 156, 269N,  934E,   6, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 099
IO, 91, 2020051500, 03, COTC, 000, 100N,  876E,  17, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 081
IO, 91, 2020051500, 03, COTC, 006,  99N,  870E,  34,  999, XX,  34, NEQ, 0120, 0220, 0239, 0000,    0,    0, 108
IO, 91, 2020051500, 03, COTC, 012, 106N,  863E,  32,  995, XX,  34, NEQ, 0000, 0154, 0149, 0000,    0,    0, 106
IO, 91, 2020051500, 03, COTC, 018, 113N,  867E,  39,  997, XX,  34, NEQ, 0000, 0214, 0080, 0000,    0,    0, 077
IO, 91, 2020051500, 03, COTC, 024, 121N,  864E,  36,  996, XX,  34, NEQ, 0272, 0210, 0234, 0000,    0,    0, 105
IO, 91, 2020051500, 03, COTC, 024, 121N,  864E,  36,  996, XX,  50, NEQ, 0000, 0157, 0154, 0000,    0,    0, 105
IO, 91, 2020051500, 03, COTC, 030, 125N,  871E,  40,  997, XX,  34, NEQ, 0000, 0175, 0272, 0000,    0,    0, 106
IO, 91, 2020051500, 03, COTC, 036, 131N,  879E,  41,  993, XX,  34, NEQ, 0215, 0226, 0308, 0000,    0,    0, 104
IO, 91, 2020051500, 03, COTC, 042, 140N,  889E,  39,  995, XX,  34, NEQ, 0322, 0232, 0294, 0000,    0,    0, 107
IO, 91, 2020051500, 03, COTC, 048, 155N,  900E,  49,  991, XX,  34, NEQ, 0232, 0237, 0350, 0118,    0,    0, 078
IO, 91, 2020051500, 03, COTC, 048, 155N,  900E,  49,  991, XX,  50, NEQ, 0000, 0000, 0171, 0000,    0,    0, 078
IO, 91, 2020051500, 03, COTC, 054, 169N,  909E,  40,  990, XX,  34, NEQ, 0185, 0340, 0351, 0000,    0,    0, 080
IO, 91, 2020051500, 03, COTC, 054, 169N,  909E,  40,  990, XX,  50, NEQ, 0000, 0240, 0200, 0000,    0,    0, 080
IO, 91, 2020051500, 03, COTC, 060, 176N,  911E,  49,  985, XX,  34, NEQ, 0195, 0350, 0302, 0000,    0,    0, 087
IO, 91, 2020051500, 03, COTC, 060, 176N,  911E,  49,  985, XX,  50, NEQ, 0000, 0130, 0000, 0000,    0,    0, 087
IO, 91, 2020051500, 03, COTC, 066, 189N,  922E,  53,  985, XX,  34, NEQ, 0091, 0294, 0351, 0000,    0,    0, 064
IO, 91, 2020051500, 03, COTC, 066, 189N,  922E,  53,  985, XX,  50, NEQ, 0000, 0122, 0088, 0000,    0,    0, 064
