SH, 93, 2013012106, 03, GFDN,   0, 192S, 1221E,  20, 1000
SH, 93, 2013012106, 03, GFDN,   6, 200S, 1206E,  22, 1002
SH, 93, 2013012106, 03, GFDN,  12, 201S, 1198E,  18, 1002
SH, 93, 2013012106, 03, GFDN,  18, 199S, 1194E,  16, 1005
SH, 93, 2013012106, 03, NGPS, 000, 179S, 1213E,  17, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 006, 179S, 1218E,  15, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 012, 183S, 1214E,  15, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 018, 186S, 1204E,  17, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 024, 189S, 1196E,  17, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 030, 188S, 1187E,  17, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 036, 187S, 1177E,  17, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 042, 189S, 1167E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 048, 194S, 1159E,  20, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 054, 196S, 1155E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 060, 198S, 1150E,  19, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 066, 198S, 1142E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 072, 198S, 1136E,  19, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 078, 196S, 1129E,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 084, 193S, 1119E,  19, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 090, 190S, 1109E,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 096, 188S, 1101E,  19, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 102, 184S, 1093E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 108, 177S, 1084E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 93, 2013012106, 03, NGPS, 114, 174S, 1073E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
