EP, 93, 2014090206, 03, GFDN,   0, 157N, 1075W,  45, 1003
EP, 93, 2014090206, 03, GFDN,   6, 162N, 1071W,  54,  998
EP, 93, 2014090206, 03, GFDN,  12, 167N, 1068W,  52,  994
EP, 93, 2014090206, 03, GFDN,  18, 171N, 1066W,  56,  990
EP, 93, 2014090206, 03, GFDN,  24, 171N, 1066W,  54,  987
EP, 93, 2014090206, 03, GFDN,  30, 171N, 1067W,  73,  977
EP, 93, 2014090206, 03, GFDN,  36, 174N, 1066W,  52,  983
EP, 93, 2014090206, 03, GFDN,  42, 180N, 1068W,  51,  983
EP, 93, 2014090206, 03, GFDN,  48, 187N, 1071W,  55,  982
EP, 93, 2014090206, 03, GFDN,  54, 195N, 1075W,  63,  978
EP, 93, 2014090206, 03, GFDN,  60, 206N, 1081W,  68,  975
EP, 93, 2014090206, 03, GFDN,  66, 215N, 1087W,  72,  973
EP, 93, 2014090206, 03, GFDN,  72, 223N, 1093W,  77,  968
EP, 93, 2014090206, 03, GFDN,  78, 232N, 1098W,  86,  962
EP, 93, 2014090206, 03, GFDN,  84, 238N, 1104W,  86,  960
EP, 93, 2014090206, 03, GFDN,  90, 245N, 1109W,  79,  966
EP, 93, 2014090206, 03, GFDN,  96, 250N, 1114W,  70,  971
EP, 93, 2014090206, 03, GFDN, 102, 256N, 1121W,  57,  975
EP, 93, 2014090206, 03, GFDN, 108, 261N, 1129W,  55,  976
EP, 93, 2014090206, 03, GFDN, 114, 265N, 1136W,  56,  978
EP, 93, 2014090206, 03, GFDN, 120, 268N, 1142W,  52,  979
EP, 93, 2014090206, 03, GFDN, 126, 274N, 1147W,  46,  983
EP, 93, 2014090206, 03, NVGM, 000, 170N, 1074W,  25, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 006, 180N, 1074W,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 012, 183N, 1081W,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 018, 184N, 1085W,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 024, 183N, 1084W,  31, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 030, 183N, 1083W,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 036, 183N, 1086W,  34, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 042, 184N, 1089W,  34,  999, XX,  34, NEQ, 0000, 0074, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 048, 188N, 1088W,  40, 1000, XX,  34, NEQ, 0093, 0149, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 054, 195N, 1090W,  44,  997, XX,  34, NEQ, 0157, 0123, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 060, 206N, 1093W,  48,  998, XX,  34, NEQ, 0138, 0080, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 066, 217N, 1099W,  46,  996, XX,  34, NEQ, 0184, 0144, 0064, 0079
EP, 93, 2014090206, 03, NVGM, 072, 226N, 1106W,  45,  998, XX,  34, NEQ, 0212, 0138, 0119, 0000
EP, 93, 2014090206, 03, NVGM, 078, 233N, 1112W,  49,  995, XX,  34, NEQ, 0117, 0130, 0110, 0050
EP, 93, 2014090206, 03, NVGM, 084, 240N, 1117W,  51,  996, XX,  34, NEQ, 0147, 0193, 0110, 0081
EP, 93, 2014090206, 03, NVGM, 084, 240N, 1117W,  51,  996, XX,  50, NEQ, 0000, 0052, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 090, 248N, 1123W,  56,  994, XX,  34, NEQ, 0180, 0149, 0083, 0080
EP, 93, 2014090206, 03, NVGM, 090, 248N, 1123W,  56,  994, XX,  50, NEQ, 0000, 0099, 0000, 0000
EP, 93, 2014090206, 03, NVGM, 096, 255N, 1130W,  52,  994, XX,  34, NEQ, 0170, 0172, 0099, 0120
EP, 93, 2014090206, 03, NVGM, 096, 255N, 1130W,  52,  994, XX,  50, NEQ, 0054, 0044, 0000, 0032
EP, 93, 2014090206, 03, NVGM, 102, 260N, 1138W,  64,  992, XX,  34, NEQ, 0124, 0113, 0122, 0078
EP, 93, 2014090206, 03, NVGM, 102, 260N, 1138W,  64,  992, XX,  50, NEQ, 0100, 0079, 0000, 0044
EP, 93, 2014090206, 03, NVGM, 108, 261N, 1144W,  61,  993, XX,  34, NEQ, 0141, 0158, 0137, 0099
EP, 93, 2014090206, 03, NVGM, 108, 261N, 1144W,  61,  993, XX,  50, NEQ, 0093, 0089, 0073, 0067
EP, 93, 2014090206, 03, NVGM, 114, 264N, 1147W,  59,  992, XX,  34, NEQ, 0161, 0117, 0081, 0150
EP, 93, 2014090206, 03, NVGM, 114, 264N, 1147W,  59,  992, XX,  50, NEQ, 0079, 0086, 0056, 0103
EP, 93, 2014090206, 03, NVGM, 120, 267N, 1150W,  57,  994, XX,  34, NEQ, 0055, 0123, 0091, 0094
EP, 93, 2014090206, 03, NVGM, 120, 267N, 1150W,  57,  994, XX,  50, NEQ, 0065, 0000, 0000, 0059
EP, 93, 2014090206, 03, NVGM, 126, 269N, 1155W,  51,  993, XX,  34, NEQ, 0089, 0111, 0139, 0083
EP, 93, 2014090206, 03, NVGM, 126, 269N, 1155W,  51,  993, XX,  50, NEQ, 0000, 0000, 0000, 0055
EP, 93, 2014090206, 03, NVGM, 132, 271N, 1157W,  52,  995, XX,  34, NEQ, 0080, 0127, 0115, 0100
EP, 93, 2014090206, 03, NVGM, 132, 271N, 1157W,  52,  995, XX,  50, NEQ, 0000, 0000, 0049, 0000
EP, 93, 2014090206, 03, NVGM, 138, 274N, 1157W,  47,  994, XX,  34, NEQ, 0082, 0099, 0067, 0087
EP, 93, 2014090206, 03, NVGM, 144, 277N, 1155W,  44,  996, XX,  34, NEQ, 0110, 0088, 0046, 0083
EP, 93, 2014090206, 03, NVGM, 150, 283N, 1153W,  41,  996, XX,  34, NEQ, 0050, 0102, 0117, 0072
