IO, 01, 2019042700, 03, NG01, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, ***
IO, 01, 2019042700, 03, NG02, 000,  44N,  898E,  51, 1002, XX,  34, NEQ, 0150, 0120, 0000, 0064,    0,    0, 080
IO, 01, 2019042700, 03, NG02, 000,  44N,  898E,  51, 1002, XX,  50, NEQ, 0088, 0000, 0000, 0000,    0,    0, 080
IO, 01, 2019042700, 03, NG02, 006,  53N,  892E,  41, 1003, XX,  34, NEQ, 0075, 0073, 0000, 0044,    0,    0, 078
IO, 01, 2019042700, 03, NG02, 012,  60N,  884E,  43, 1001, XX,  34, NEQ, 0091, 0000, 0000, 0080,    0,    0, 090
IO, 01, 2019042700, 03, NG02, 018,  66N,  875E,  39, 1004, XX,  34, NEQ, 0080, 0053, 0041, 0025,    0,    0, 063
IO, 01, 2019042700, 03, NG02, 024,  70N,  869E,  34, 1001, XX,  34, NEQ, 0000, 0000, 0066, 0000,    0,    0, 064
IO, 01, 2019042700, 03, NG02, 030,  77N,  864E,  40, 1001, XX,  34, NEQ, 0081, 0075, 0000, 0000,    0,    0, 061
IO, 01, 2019042700, 03, NG02, 036,  84N,  855E,  42,  998, XX,  34, NEQ, 0100, 0072, 0000, 0075,    0,    0, 075
IO, 01, 2019042700, 03, NG02, 042,  87N,  846E,  43,  999, XX,  34, NEQ, 0126, 0098, 0095, 0080,    0,    0, 074
IO, 01, 2019042700, 03, NG02, 048,  92N,  844E,  49,  997, XX,  34, NEQ, 0200, 0111, 0108, 0000,    0,    0, 078
IO, 01, 2019042700, 03, NG02, 054,  99N,  843E,  48,  999, XX,  34, NEQ, 0105, 0158, 0130, 0053,    0,    0, 070
IO, 01, 2019042700, 03, NG02, 060, 109N,  838E,  44,  995, XX,  34, NEQ, 0138, 0115, 0070, 0069,    0,    0, 072
IO, 01, 2019042700, 03, NG02, 066, 114N,  832E,  39,  997, XX,  34, NEQ, 0105, 0122, 0095, 0069,    0,    0, 054
IO, 01, 2019042700, 03, NG02, 072, 119N,  825E,  47,  993, XX,  34, NEQ, 0070, 0148, 0056, 0046,    0,    0, 065
IO, 01, 2019042700, 03, NG02, 078, 123N,  820E,  54,  994, XX,  34, NEQ, 0120, 0120, 0095, 0072,    0,    0, 059
IO, 01, 2019042700, 03, NG02, 078, 123N,  820E,  54,  994, XX,  50, NEQ, 0000, 0050, 0070, 0051,    0,    0, 059
IO, 01, 2019042700, 03, NG02, 084, 132N,  816E,  57,  990, XX,  34, NEQ, 0132, 0025, 0142, 0025,    0,    0, 053
IO, 01, 2019042700, 03, NG02, 084, 132N,  816E,  57,  990, XX,  50, NEQ, 0056, 0077, 0079, 0000,    0,    0, 053
IO, 01, 2019042700, 03, NG02, 090, 138N,  809E,  53,  991, XX,  34, NEQ, 0160, 0230, 0115, 0025,    0,    0, 051
IO, 01, 2019042700, 03, NG02, 090, 138N,  809E,  53,  991, XX,  50, NEQ, 0070, 0056, 0000, 0000,    0,    0, 051
IO, 01, 2019042700, 03, NG02, 096, 143N,  803E,  55,  989, XX,  34, NEQ, 0120, 0234, 0000, 0000,    0,    0, 047
IO, 01, 2019042700, 03, NG02, 096, 143N,  803E,  55,  989, XX,  50, NEQ, 0054, 0114, 0000, 0000,    0,    0, 047
IO, 01, 2019042700, 03, NG02, 102, 145N,  798E,  45,  994, XX,  34, NEQ, 0136, 0166, 0000, 0000,    0,    0, 042
IO, 01, 2019042700, 03, NG02, 108, 145N,  800E,  46,  994, XX,  34, NEQ, 0088, 0180, 0000, 0000,    0,    0, 067
IO, 01, 2019042700, 03, NG02, 114, 149N,  806E,  47,  997, XX,  34, NEQ, 0082, 0164, 0078, 0000,    0,    0, 058
IO, 01, 2019042700, 03, NG02, 120, 155N,  814E,  44,  995, XX,  34, NEQ, 0097, 0108, 0104, 0000,    0,    0, 058
IO, 01, 2019042700, 03, NG02, 126, 158N,  820E,  47,  998, XX,  34, NEQ, 0000, 0075, 0140, 0000,    0,    0, 082
IO, 01, 2019042700, 03, NG02, 132, 160N,  827E,  39,  996, XX,  34, NEQ, 0000, 0094, 0045, 0000,    0,    0, 050
IO, 01, 2019042700, 03, NG02, 138, 159N,  835E,  43,  999, XX,  34, NEQ, 0000, 0084, 0087, 0000,    0,    0, 052
IO, 01, 2019042700, 03, NG02, 144, 157N,  845E,  36,  997, XX,  34, NEQ, 0000, 0147, 0066, 0000,    0,    0, 052
IO, 01, 2019042700, 03, NG02, 150, 156N,  856E,  44,  999, XX,  34, NEQ, 0000, 0102, 0133, 0000,    0,    0, 076
