AL, 69, 2016110300, 03,  UKM,   0, 238N,  519W,  26, 1008,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,   6, 252N,  513W,  28, 1005,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  12, 265N,  504W,  31, 1005,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  18, 269N,  491W,  32, 1002,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  24, 287N,  474W,  35, 1003,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  30, 313N,  467W,  38, 1000,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  36, 330N,  454W,  41,  997,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  42, 350N,  448W,  42,  992,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  48, 364N,  453W,  47,  985,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  54, 365N,  447W,  51,  982,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  60, 375N,  438W,  47,  986,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  66, 384N,  431W,  41,  986,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  72, 392N,  417W,  44,  989,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  78, 401N,  405W,  45,  990,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  84, 412N,  391W,  43,  994,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  90, 425N,  375W,  44,  995,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM,  96, 441N,  356W,  42,  998,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM, 102, 464N,  333W,  42,  997,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM, 108, 489N,  304W,  42,  996,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 69, 2016110300, 03,  UKM, 114, 517N,  275W,  42,  994,    0,   ,   0,    ,    0,    0,    0,    0, 
