SH, 16, 2012030800, 03,  UKM, 132, 188S,  793E,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
SH, 16, 2012030800, 03,  UKM, 144, 195S,  766E,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
SH, 16, 2012030800, 03,  UKM, 156, 197S,  740E,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
SH, 16, 2012030800, 03,  UKM, 168, 203S,  712E,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
SH, 16, 2012030806, 01, CARQ, -18, 153S, 0947E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1005,  150,  45,   0,   0,   S,   0,   X, 240,  13,    SIXTEEN, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH162012, JTWC, NCEP_TCVITALS, 
SH, 16, 2012030806, 01, CARQ, -12, 152S, 0939E,  40,  993, XX,  34, NEQ,   40,   65,   65,   40, 1001,  150,  40,   0,   0,   S,   0,   X, 250,  11,    SIXTEEN, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH162012, JTWC, NCEP_TCVITALS, 
SH, 16, 2012030806, 01, CARQ,  -6, 153S, 0927E,  40,  993, XX,  34, NEQ,   40,   65,   65,   40, 1002,  180,  35,   0,   0,   S,   0,   X, 255,  11,    SIXTEEN, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH162012, JTWC, NCEP_TCVITALS, 
SH, 16, 2012030806, 01, CARQ,   0, 158S, 0906E,  45,  989, XX,  34, NEQ,   50,   70,   70,   50, 1002,  170,  35,   0,   0,   S,   0,   X, 255,  14,       KOJI, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH162012, JTWC, NCEP_TCVITALS, 
SH, 16, 2012030806, 01, CARQ,   0, 158S, 0906E,  45,  989, XX,  50, NEQ,    0,    0,    0,    0, 1002,  170,  35,   0,   0,   S,   0,   X, 255,  14,       KOJI, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH162012, JTWC, NCEP_TCVITALS, 
SH, 16, 2012030806, 01, CARQ,   0, 158S, 0906E,  45,  989, XX,  64, NEQ,    0,    0,    0,    0, 1002,  170,  35,   0,   0,   S,   0,   X, 255,  14,       KOJI, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH162012, JTWC, NCEP_TCVITALS, 
SH, 16, 2012030806, 03, AVNO, 000, 158S,  906E,  38,  994, XX,  34, NEQ, 0083, 0109, 0163, 0062
