SH, 06, 2016010100, 03, COTC, 078, 203S, 1780W,  62,  973, XX,  50, NEQ, 0030, 0028, 0034, 0025,    0,    0, 019
SH, 06, 2016010100, 03, COTC, 084, 208S, 1777W,  54,  978, XX,  34, NEQ, 0082, 0095, 0093, 0058,    0,    0, 021
SH, 06, 2016010100, 03, COTC, 084, 208S, 1777W,  54,  978, XX,  50, NEQ, 0033, 0023, 0031, 0000,    0,    0, 021
SH, 06, 2016010100, 03, COTC, 090, 214S, 1775W,  59,  977, XX,  34, NEQ, 0115, 0115, 0109, 0071,    0,    0, 035
SH, 06, 2016010100, 03, COTC, 090, 214S, 1775W,  59,  977, XX,  50, NEQ, 0041, 0043, 0044, 0037,    0,    0, 035
SH, 06, 2016010100, 03, COTC, 096, 217S, 1772W,  53,  980, XX,  34, NEQ, 0081, 0158, 0084, 0065,    0,    0, 040
SH, 06, 2016010100, 03, COTC, 096, 217S, 1772W,  53,  980, XX,  50, NEQ, 0032, 0027, 0044, 0000,    0,    0, 040
SH, 06, 2016010100, 03, COTC, 102, 221S, 1768W,  53,  979, XX,  34, NEQ, 0137, 0140, 0126, 0055,    0,    0, 042
SH, 06, 2016010100, 03, COTC, 102, 221S, 1768W,  53,  979, XX,  50, NEQ, 0050, 0044, 0000, 0000,    0,    0, 042
SH, 06, 2016010100, 03, COTC, 108, 227S, 1763W,  55,  979, XX,  34, NEQ, 0123, 0109, 0075, 0061,    0,    0, 030
SH, 06, 2016010100, 03, COTC, 108, 227S, 1763W,  55,  979, XX,  50, NEQ, 0041, 0036, 0034, 0000,    0,    0, 030
SH, 06, 2016010100, 03, COTC, 114, 230S, 1761W,  51,  979, XX,  34, NEQ, 0105, 0105, 0104, 0068,    0,    0, 031
SH, 06, 2016010100, 03, COTC, 114, 230S, 1761W,  51,  979, XX,  50, NEQ, 0034, 0000, 0000, 0000,    0,    0, 031
SH, 06, 2016010100, 03, COTC, 120, 231S, 1759W,  50,  982, XX,  34, NEQ, 0094, 0085, 0060, 0061,    0,    0, 031
SH, 06, 2016010100, 03, COTC, 120, 231S, 1759W,  50,  982, XX,  50, NEQ, 0000, 0031, 0000, 0000,    0,    0, 031
SH, 06, 2016010100, 03, CTCX, 000, 167S, 1704W,  88,  949, XX,  34, NEQ, 0193, 0198, 0197, 0147,    0,    0, 020
SH, 06, 2016010100, 03, CTCX, 000, 167S, 1704W,  88,  949, XX,  50, NEQ, 0088, 0100, 0091, 0061,    0,    0, 020
SH, 06, 2016010100, 03, CTCX, 000, 167S, 1704W,  88,  949, XX,  64, NEQ, 0044, 0050, 0047, 0035,    0,    0, 020
SH, 06, 2016010100, 03, CTCX, 006, 173S, 1711W,  70,  962, XX,  34, NEQ, 0144, 0156, 0157, 0130,    0,    0, 034
SH, 06, 2016010100, 03, CTCX, 006, 173S, 1711W,  70,  962, XX,  50, NEQ, 0067, 0080, 0076, 0000,    0,    0, 034
SH, 06, 2016010100, 03, CTCX, 006, 173S, 1711W,  70,  962, XX,  64, NEQ, 0000, 0050, 0040, 0000,    0,    0, 034
SH, 06, 2016010100, 03, CTCX, 012, 180S, 1721W,  72,  965, XX,  34, NEQ, 0239, 0186, 0178, 0117,    0,    0, 036
SH, 06, 2016010100, 03, CTCX, 012, 180S, 1721W,  72,  965, XX,  50, NEQ, 0090, 0105, 0087, 0048,    0,    0, 036
SH, 06, 2016010100, 03, CTCX, 012, 180S, 1721W,  72,  965, XX,  64, NEQ, 0000, 0075, 0054, 0000,    0,    0, 036
SH, 06, 2016010100, 03, CTCX, 018, 184S, 1734W,  69,  964, XX,  34, NEQ, 0145, 0224, 0152, 0109,    0,    0, 040
SH, 06, 2016010100, 03, CTCX, 018, 184S, 1734W,  69,  964, XX,  50, NEQ, 0050, 0078, 0072, 0049,    0,    0, 040
SH, 06, 2016010100, 03, CTCX, 018, 184S, 1734W,  69,  964, XX,  64, NEQ, 0000, 0056, 0055, 0000,    0,    0, 040
SH, 06, 2016010100, 03, CTCX, 024, 185S, 1746W,  70,  966, XX,  34, NEQ, 0164, 0195, 0177, 0100,    0,    0, 027
