IO, 08, 2018121606, 03, AP03, 036, 176N,  829E,  30, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP03, 042, 184N,  822E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP03, 048, 178N,  821E,  15, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP03, 054, 179N,  821E,  16, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP04, 000, 126N,  838E,  42,  998, XX,  34, NEQ, 0087, 0066, 0118, 0114
IO, 08, 2018121606, 03, AP04, 006, 133N,  833E,  45,  998, XX,  34, NEQ, 0194, 0098, 0109, 0195
IO, 08, 2018121606, 03, AP04, 012, 141N,  831E,  42,  999, XX,  34, NEQ, 0125, 0114, 0094, 0084
IO, 08, 2018121606, 03, AP04, 018, 150N,  830E,  36,  999, XX,  34, NEQ, 0091, 0089, 0077, 0069
IO, 08, 2018121606, 03, AP04, 024, 160N,  830E,  35, 1003, XX,  34, NEQ, 0064, 0093, 0000, 0000
IO, 08, 2018121606, 03, AP04, 030, 173N,  832E,  35, 1003, XX,  34, NEQ, 0000, 0057, 0000, 0000
IO, 08, 2018121606, 03, AP04, 036, 185N,  834E,  28, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP04, 042, 195N,  840E,  24, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP04, 048, 207N,  854E,  24, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP04, 054, 214N,  869E,  22, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP04, 060, 223N,  885E,  20, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP04, 066, 240N,  894E,  16, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP05, 000, 125N,  837E,  40,  996, XX,  34, NEQ, 0073, 0066, 0106, 0114
IO, 08, 2018121606, 03, AP05, 006, 133N,  833E,  45,  997, XX,  34, NEQ, 0196, 0077, 0099, 0166
IO, 08, 2018121606, 03, AP05, 012, 139N,  830E,  45,  997, XX,  34, NEQ, 0134, 0084, 0089, 0130
IO, 08, 2018121606, 03, AP05, 018, 145N,  830E,  39,  999, XX,  34, NEQ, 0083, 0067, 0085, 0000
IO, 08, 2018121606, 03, AP05, 024, 156N,  829E,  38, 1002, XX,  34, NEQ, 0046, 0082, 0000, 0000
IO, 08, 2018121606, 03, AP05, 030, 165N,  826E,  36, 1002, XX,  34, NEQ, 0000, 0055, 0000, 0000
IO, 08, 2018121606, 03, AP05, 036, 175N,  824E,  30, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP05, 042, 182N,  819E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP05, 048, 179N,  813E,  16, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP05, 054, 166N,  812E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP05, 060, 161N,  805E,  23, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP06, 000, 124N,  837E,  40,  997, XX,  34, NEQ, 0107, 0000, 0099, 0187
IO, 08, 2018121606, 03, AP06, 006, 132N,  833E,  43,  998, XX,  34, NEQ, 0199, 0000, 0111, 0167
IO, 08, 2018121606, 03, AP06, 012, 140N,  829E,  44,  999, XX,  34, NEQ, 0182, 0121, 0083, 0120
IO, 08, 2018121606, 03, AP06, 018, 150N,  826E,  42,  998, XX,  34, NEQ, 0123, 0000, 0072, 0092
IO, 08, 2018121606, 03, AP06, 024, 156N,  825E,  38, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0087
IO, 08, 2018121606, 03, AP06, 030, 163N,  823E,  31, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP06, 036, 171N,  820E,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP06, 042, 178N,  816E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP06, 048, 183N,  817E,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP06, 054, 174N,  819E,  13, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP06, 060, 165N,  818E,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP07, 000, 125N,  837E,  38,  997, XX,  34, NEQ, 0066, 0066, 0101, 0101
IO, 08, 2018121606, 03, AP07, 006, 133N,  835E,  46,  996, XX,  34, NEQ, 0189, 0082, 0104, 0191
IO, 08, 2018121606, 03, AP07, 012, 143N,  831E,  45,  998, XX,  34, NEQ, 0167, 0113, 0089, 0137
IO, 08, 2018121606, 03, AP07, 018, 151N,  830E,  40,  997, XX,  34, NEQ, 0091, 0089, 0083, 0117
IO, 08, 2018121606, 03, AP07, 024, 160N,  830E,  36, 1002, XX,  34, NEQ, 0065, 0000, 0079, 0000
IO, 08, 2018121606, 03, AP07, 030, 170N,  828E,  35, 1003, XX,  34, NEQ, 0070, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP07, 036, 180N,  825E,  29, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP07, 042, 191N,  825E,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP07, 048, 202N,  836E,  16, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP07, 054, 203N,  847E,  22, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP07, 060, 207N,  862E,  19, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP08, 000, 126N,  837E,  38,  995, XX,  34, NEQ, 0095, 0000, 0086, 0085
IO, 08, 2018121606, 03, AP08, 006, 136N,  833E,  42,  995, XX,  34, NEQ, 0208, 0100, 0108, 0177
IO, 08, 2018121606, 03, AP08, 012, 145N,  831E,  40,  998, XX,  34, NEQ, 0126, 0088, 0096, 0090
IO, 08, 2018121606, 03, AP08, 018, 156N,  829E,  38,  996, XX,  34, NEQ, 0096, 0090, 0076, 0065
IO, 08, 2018121606, 03, AP08, 024, 168N,  829E,  39, 1001, XX,  34, NEQ, 0068, 0070, 0000, 0000
IO, 08, 2018121606, 03, AP08, 030, 178N,  827E,  31, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP08, 036, 188N,  829E,  24, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP08, 042, 199N,  840E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP08, 048, 212N,  847E,  20, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP08, 054, 219N,  860E,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP08, 060, 232N,  883E,  16, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP08, 066, 251N,  907E,  19, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP09, 000, 125N,  837E,  41,  995, XX,  34, NEQ, 0213, 0060, 0111, 0183
IO, 08, 2018121606, 03, AP09, 006, 131N,  834E,  43,  996, XX,  34, NEQ, 0207, 0068, 0098, 0176
IO, 08, 2018121606, 03, AP09, 012, 138N,  830E,  45,  998, XX,  34, NEQ, 0193, 0088, 0088, 0161
IO, 08, 2018121606, 03, AP09, 018, 147N,  827E,  41,  998, XX,  34, NEQ, 0112, 0000, 0083, 0109
IO, 08, 2018121606, 03, AP09, 024, 153N,  825E,  35, 1002, XX,  34, NEQ, 0000, 0000, 0066, 0059
IO, 08, 2018121606, 03, AP09, 030, 159N,  824E,  34, 1002, XX,  34, NEQ, 0000, 0000, 0056, 0000
IO, 08, 2018121606, 03, AP09, 036, 165N,  823E,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP09, 042, 172N,  821E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP09, 048, 170N,  822E,  25, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP09, 054, 161N,  821E,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP09, 060, 158N,  817E,  22, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP10, 000, 126N,  837E,  37,  995, XX,  34, NEQ, 0095, 0000, 0086, 0060
IO, 08, 2018121606, 03, AP10, 006, 133N,  833E,  47,  996, XX,  34, NEQ, 0192, 0081, 0115, 0192
IO, 08, 2018121606, 03, AP10, 012, 142N,  829E,  46,  997, XX,  34, NEQ, 0141, 0094, 0086, 0113
IO, 08, 2018121606, 03, AP10, 018, 151N,  828E,  42,  997, XX,  34, NEQ, 0117, 0101, 0081, 0087
IO, 08, 2018121606, 03, AP10, 024, 160N,  826E,  38, 1001, XX,  34, NEQ, 0087, 0087, 0051, 0000
IO, 08, 2018121606, 03, AP10, 030, 170N,  824E,  36, 1002, XX,  34, NEQ, 0000, 0064, 0000, 0000
IO, 08, 2018121606, 03, AP10, 036, 178N,  820E,  25, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP10, 042, 185N,  815E,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP10, 048, 176N,  820E,  16, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP10, 054, 174N,  819E,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP11, 000, 126N,  837E,  39,  995, XX,  34, NEQ, 0118, 0048, 0076, 0179
IO, 08, 2018121606, 03, AP11, 006, 135N,  833E,  45,  994, XX,  34, NEQ, 0182, 0062, 0094, 0182
IO, 08, 2018121606, 03, AP11, 012, 145N,  830E,  41,  998, XX,  34, NEQ, 0120, 0091, 0094, 0087
IO, 08, 2018121606, 03, AP11, 018, 158N,  827E,  39,  997, XX,  34, NEQ, 0102, 0104, 0067, 0045
IO, 08, 2018121606, 03, AP11, 024, 170N,  826E,  40, 1002, XX,  34, NEQ, 0000, 0087, 0000, 0000
IO, 08, 2018121606, 03, AP11, 030, 182N,  827E,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP11, 036, 199N,  836E,  26, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP11, 042, 212N,  843E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP11, 048, 219N,  856E,  21, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP11, 054, 218N,  862E,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 000, 125N,  837E,  38,  996, XX,  34, NEQ, 0104, 0000, 0095, 0080
IO, 08, 2018121606, 03, AP12, 006, 132N,  833E,  42,  997, XX,  34, NEQ, 0201, 0000, 0114, 0172
IO, 08, 2018121606, 03, AP12, 012, 139N,  828E,  45,  997, XX,  34, NEQ, 0155, 0088, 0092, 0129
IO, 08, 2018121606, 03, AP12, 018, 148N,  824E,  41,  996, XX,  34, NEQ, 0134, 0061, 0076, 0078
IO, 08, 2018121606, 03, AP12, 024, 157N,  823E,  36, 1001, XX,  34, NEQ, 0074, 0084, 0066, 0000
IO, 08, 2018121606, 03, AP12, 030, 167N,  822E,  33, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 036, 174N,  820E,  27, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 042, 185N,  813E,  18, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 048, 184N,  818E,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 054, 171N,  818E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 060, 161N,  817E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 066, 153N,  816E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 072, 135N,  822E,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 078, 121N,  829E,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 084, 118N,  832E,  16, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 090, 128N,  838E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 096, 147N,  859E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 102, 155N,  861E,  20, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 108, 159N,  862E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 114, 161N,  862E,  21, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 120, 161N,  859E,  22, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 126, 154N,  854E,  20, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 132, 151N,  850E,  19, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP12, 138, 142N,  842E,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP13, 000, 125N,  837E,  40,  995, XX,  34, NEQ, 0101, 0000, 0100, 0179
IO, 08, 2018121606, 03, AP13, 006, 133N,  833E,  46,  996, XX,  34, NEQ, 0190, 0104, 0104, 0160
IO, 08, 2018121606, 03, AP13, 012, 143N,  830E,  45,  997, XX,  34, NEQ, 0134, 0119, 0086, 0109
