SH, 07, 2016011418, 03, CTCX, 096, 218S, 1647W,  63,  973, XX,  34, NEQ, 0221, 0273, 0244, 0179,    0,    0, 091
SH, 07, 2016011418, 03, CTCX, 096, 218S, 1647W,  63,  973, XX,  50, NEQ, 0132, 0130, 0130, 0081,    0,    0, 091
SH, 07, 2016011418, 03, CTCX, 102, 228S, 1647W,  62,  976, XX,  34, NEQ, 0211, 0281, 0216, 0191,    0,    0, 056
SH, 07, 2016011418, 03, CTCX, 102, 228S, 1647W,  62,  976, XX,  50, NEQ, 0131, 0117, 0093, 0091,    0,    0, 056
SH, 07, 2016011418, 03, CTCX, 108, 231S, 1644W,  58,  979, XX,  34, NEQ, 0209, 0256, 0215, 0190,    0,    0, 085
SH, 07, 2016011418, 03, CTCX, 108, 231S, 1644W,  58,  979, XX,  50, NEQ, 0120, 0120, 0108, 0000,    0,    0, 085
SH, 07, 2016011418, 03, CTCX, 114, 232S, 1647W,  54,  982, XX,  34, NEQ, 0232, 0285, 0195, 0177,    0,    0, 079
SH, 07, 2016011418, 03, CTCX, 114, 232S, 1647W,  54,  982, XX,  50, NEQ, 0000, 0145, 0090, 0000,    0,    0, 079
SH, 07, 2016011418, 03, CTCX, 120, 235S, 1643W,  49,  985, XX,  34, NEQ, 0209, 0242, 0195, 0196,    0,    0, 085
SH, 07, 2016011418, 03, CTCX, 120, 235S, 1643W,  49,  985, XX,  50, NEQ, 0000, 0146, 0000, 0000,    0,    0, 085
SH, 07, 2016011418, 03, CTCX, 126, 240S, 1644W,  48,  987, XX,  34, NEQ, 0227, 0235, 0170, 0160,    0,    0, 081
SH, 07, 2016011500, 03, COTC, 000, 143S, 1656W,  40,  994, XX,  34, NEQ, 0152, 0198, 0064, 0000,    0,    0, 053
SH, 07, 2016011500, 03, COTC, 006, 148S, 1657W,  43,  993, XX,  34, NEQ, 0256, 0246, 0131, 0095,    0,    0, 071
SH, 07, 2016011500, 03, COTC, 012, 150S, 1659W,  46,  993, XX,  34, NEQ, 0261, 0213, 0154, 0146,    0,    0, 034
SH, 07, 2016011500, 03, COTC, 018, 152S, 1664W,  54,  990, XX,  34, NEQ, 0185, 0207, 0139, 0139,    0,    0, 048
SH, 07, 2016011500, 03, COTC, 018, 152S, 1664W,  54,  990, XX,  50, NEQ, 0082, 0109, 0051, 0000,    0,    0, 048
SH, 07, 2016011500, 03, COTC, 024, 153S, 1663W,  59,  985, XX,  34, NEQ, 0290, 0217, 0169, 0199,    0,    0, 070
SH, 07, 2016011500, 03, COTC, 024, 153S, 1663W,  59,  985, XX,  50, NEQ, 0000, 0049, 0075, 0073,    0,    0, 070
SH, 07, 2016011500, 03, COTC, 030, 151S, 1667W,  69,  980, XX,  34, NEQ, 0230, 0224, 0189, 0221,    0,    0, 058
SH, 07, 2016011500, 03, COTC, 030, 151S, 1667W,  69,  980, XX,  50, NEQ, 0000, 0138, 0089, 0048,    0,    0, 058
SH, 07, 2016011500, 03, COTC, 030, 151S, 1667W,  69,  980, XX,  64, NEQ, 0000, 0000, 0063, 0000,    0,    0, 058
SH, 07, 2016011500, 03, COTC, 036, 153S, 1667W,  62,  978, XX,  34, NEQ, 0248, 0236, 0185, 0127,    0,    0, 079
SH, 07, 2016011500, 03, COTC, 036, 153S, 1667W,  62,  978, XX,  50, NEQ, 0069, 0090, 0100, 0049,    0,    0, 079
SH, 07, 2016011500, 03, COTC, 042, 154S, 1665W,  68,  974, XX,  34, NEQ, 0299, 0249, 0233, 0151,    0,    0, 035
SH, 07, 2016011500, 03, COTC, 042, 154S, 1665W,  68,  974, XX,  50, NEQ, 0075, 0119, 0087, 0052,    0,    0, 035
SH, 07, 2016011500, 03, COTC, 042, 154S, 1665W,  68,  974, XX,  64, NEQ, 0038, 0000, 0000, 0036,    0,    0, 035
SH, 07, 2016011500, 03, COTC, 048, 159S, 1662W,  74,  972, XX,  34, NEQ, 0268, 0263, 0214, 0178,    0,    0, 038
SH, 07, 2016011500, 03, COTC, 048, 159S, 1662W,  74,  972, XX,  50, NEQ, 0109, 0079, 0079, 0079,    0,    0, 038
SH, 07, 2016011500, 03, COTC, 048, 159S, 1662W,  74,  972, XX,  64, NEQ, 0045, 0000, 0000, 0046,    0,    0, 038
SH, 07, 2016011500, 03, COTC, 054, 163S, 1656W,  72,  971, XX,  34, NEQ, 0259, 0269, 0229, 0163,    0,    0, 047
SH, 07, 2016011500, 03, COTC, 054, 163S, 1656W,  72,  971, XX,  50, NEQ, 0089, 0191, 0075, 0076,    0,    0, 047
SH, 07, 2016011500, 03, COTC, 054, 163S, 1656W,  72,  971, XX,  64, NEQ, 0056, 0048, 0000, 0056,    0,    0, 047
SH, 07, 2016011500, 03, COTC, 060, 172S, 1651W,  64,  973, XX,  34, NEQ, 0286, 0255, 0215, 0190,    0,    0, 044
SH, 07, 2016011500, 03, COTC, 060, 172S, 1651W,  64,  973, XX,  50, NEQ, 0077, 0159, 0067, 0093,    0,    0, 044
SH, 07, 2016011500, 03, COTC, 060, 172S, 1651W,  64,  973, XX,  64, NEQ, 0047, 0000, 0000, 0000,    0,    0, 044
SH, 07, 2016011500, 03, COTC, 066, 179S, 1645W,  78,  970, XX,  34, NEQ, 0288, 0255, 0214, 0179,    0,    0, 049
