Basin,Storm_Number,Storm_Name,Storm_Start_Date,Storm_End_Date,Storm_Year,adeck_path,adeck_path_parquet
al,1,Andrea,19/05/2019 12:00,21/05/2019 18:00,2019.0,./forecast_data/aal012019.dat,./forecast_data_parquet/aal012019.parquet
al,1,Arthur,14/05/2020 18:00,20/05/2020 00:00,2020.0,./forecast_data/aal012020.dat,./forecast_data_parquet/aal012020.parquet
al,1,Ana,20/05/2021 00:00,24/05/2021 06:00,2021.0,./forecast_data/aal012021.dat,./forecast_data_parquet/aal012021.parquet
al,1,Alex,01/06/2022 12:00,07/06/2022 00:00,2022.0,./forecast_data/aal012022.dat,./forecast_data_parquet/aal012022.parquet
al,1,Alberto,2024-06-17 12:00:00,2024-06-21 00:00:00,2024.0,./forecast_data/aal012024.dat,./forecast_data_parquet/aal012024.parquet
al,2,Bret,28/06/2005 00:00,30/06/2005 06:00,2005.0,./forecast_data/aal022005.dat,./forecast_data_parquet/aal022005.parquet
al,2,Disturbance,17/07/2006 06:00,21/07/2006 18:00,2006.0,./forecast_data/aal022006.dat,./forecast_data_parquet/aal022006.parquet
al,2,Barry,31/05/2007 12:00,03/06/2007 00:00,2007.0,./forecast_data/aal022007.dat,./forecast_data_parquet/aal022007.parquet
al,2,Bertha,01/07/2008 00:00,20/07/2008 12:00,2008.0,./forecast_data/aal022008.dat,./forecast_data_parquet/aal022008.parquet
al,2,Ana,09/08/2009 12:00,18/08/2009 00:00,2009.0,./forecast_data/aal022009.dat,./forecast_data_parquet/aal022009.parquet
al,2,Invest,04/07/2010 06:00,08/07/2010 18:00,2010.0,./forecast_data/aal022010.dat,./forecast_data_parquet/aal022010.parquet
al,2,Bret,16/07/2011 18:00,22/07/2011 12:00,2011.0,./forecast_data/aal022011.dat,./forecast_data_parquet/aal022011.parquet
al,2,Beryl,23/05/2012 00:00,30/05/2012 18:00,2012.0,./forecast_data/aal022012.dat,./forecast_data_parquet/aal022012.parquet
al,2,Barry,16/06/2013 12:00,21/06/2013 06:00,2013.0,./forecast_data/aal022013.dat,./forecast_data_parquet/aal022013.parquet
al,2,Invest,21/07/2014 12:00,23/07/2014 12:00,2014.0,./forecast_data/aal022014.dat,./forecast_data_parquet/aal022014.parquet
al,2,Bill,13/06/2015 12:00,17/06/2015 18:00,2015.0,./forecast_data/aal022015.dat,./forecast_data_parquet/aal022015.parquet
